Wijk,bicycle,cargo_bicycle,moped,scooter
Da Costabuurt,0.0,0.0,2.0,0.0
Schinkelbuurt,1.0,0.0,22.0,0.0
Willemspark,0.0,0.0,18.0,0.0
Museumkwartier,0.0,0.0,7.0,0.0
Oude Pijp,0.0,2.0,1.0,0.0
Nieuwe Pijp,0.0,0.0,2.0,0.0
Venserpolder,0.0,0.0,1.0,0.0
Stadionbuurt,10.0,0.0,168.0,0.0
Apollobuurt,1.0,0.0,7.0,0.0
Scheldebuurt,3.0,0.0,7.0,0.0
IJselbuurt,0.0,1.0,0.0,0.0
Rijnbuurt,0.0,2.0,0.0,0.0
Prinses Irenebuurt e.o.,8.0,0.0,0.0,0.0
Zuidas,17.0,1.0,14.0,0.0
Buitenveldert-West,9.0,1.0,14.0,0.0
Buitenveldert-Oost,2.0,0.0,7.0,0.0
Overtoomse Sluis,0.0,0.0,4.0,0.0
Helmersbuurt,0.0,0.0,1.0,0.0
Vondelparkbuurt,0.0,0.0,3.0,0.0
Haarlemmerbuurt,0.0,2.0,8.0,0.0
Slotervaart-Zuid,4.0,0.0,1.0,0.0
Jordaan,0.0,0.0,10.0,0.0
Grachtengordel-West,0.0,1.0,2.0,0.0
Westlandgracht,0.0,0.0,5.0,0.0
Sloten/Nieuw-Sloten,8.0,0.0,13.0,0.0
Oostelijk Havengebied,21.0,11.0,30.0,0.0
Weesperzijde,4.0,1.0,0.0,0.0
Oosterparkbuurt,11.0,2.0,3.0,0.0
Transvaalbuurt,0.0,1.0,1.0,0.0
Indische Buurt-West,14.0,1.0,3.0,0.0
Indische Buurt-Oost,4.0,1.0,2.0,0.0
Zeeburgereiland/Bovendiep,4.0,2.0,7.0,0.0
IJburg-West,9.0,7.0,21.0,0.0
IJburg-Zuid,7.0,1.0,36.0,0.0
Frankendael,11.0,2.0,2.0,0.0
Middenmeer,7.0,4.0,20.0,0.0
Betondorp,4.0,2.0,0.0,0.0
Omval/Overamstel,1.0,0.0,5.0,0.0
Burgwallen-Nieuwe Zijde,23.0,0.0,4.0,0.0
Burgwallen-Oude Zijde,21.0,0.0,1.0,0.0
Hoofddorppleinbuurt,3.0,0.0,4.0,0.0
Nieuwmarkt/Lastage,0.0,0.0,5.0,0.0
Grachtengordel-Zuid,0.0,0.0,5.0,0.0
De Weteringschans,18.0,0.0,3.0,0.0
Weesperbuurt/Plantage,0.0,1.0,3.0,0.0
Oostelijke Eilanden/Kadijken,0.0,2.0,11.0,0.0
Noordelijke IJ-oevers-West,5.0,1.0,4.0,0.0
Elzenhagen,7.0,0.0,24.0,0.0
Buikslotermeer,0.0,0.0,21.0,0.0
Volewijck,0.0,0.0,6.0,0.0
IJplein/Vogelbuurt,0.0,0.0,13.0,0.0
Noordelijke IJ-oevers-Oost,0.0,0.0,2.0,0.0
Sloterdijk Nieuw-West,15.0,0.0,6.0,0.0
Zuid Pijp,0.0,0.0,2.0,0.0
Geuzenveld,15.0,0.0,13.0,0.0
Slotermeer-Noordoost,7.0,0.0,1.0,0.0
Slotermeer-Zuidoost,1.0,0.0,4.0,0.0
Lutkemeer/Ookmeer,0.0,0.0,2.0,0.0
De Aker,0.0,0.0,12.0,0.0
De Punt,0.0,0.0,3.0,0.0
Dapperbuurt,4.0,1.0,4.0,0.0
Amsterdamse Poort e.o.,0.0,0.0,4.0,0.0
H-buurt,0.0,0.0,2.0,0.0
Holendrecht,0.0,0.0,1.0,0.0
Osdorp-Midden,3.0,0.0,10.0,0.0
Osdorp-Oost,2.0,2.0,4.0,0.0
Slotervaart-Noord,0.0,0.0,3.0,0.0
Overtoomse Veld,6.0,0.0,2.0,0.0
Coenhaven/Minervahaven,4.0,0.0,7.0,0.0
Sloterdijk-West,2.0,1.0,7.0,0.0
Spaarndammerbuurt/Zeeheldenbuurt,0.0,0.0,6.0,0.0
Houthavens,0.0,0.0,0.0,1.0
De Kolenkit,5.0,0.0,2.0,0.0
Landlust,8.0,0.0,3.0,0.0
Erasmuspark,2.0,0.0,1.0,0.0
Centrale Markt,2.0,0.0,15.0,0.0
Staatsliedenbuurt,0.0,0.0,2.0,0.0
Amstel III/Bullewijk,0.0,0.0,21.0,0.0
Frederik Hendrikbuurt,4.0,0.0,1.0,0.0
Van Galenbuurt,0.0,0.0,1.0,0.0
Geuzenbuurt,6.0,0.0,2.0,0.0
Hoofdweg e.o.,2.0,0.0,1.0,0.0
Chassébuurt,3.0,1.0,0.0,0.0
