Wijk,bicycle,cargo_bicycle,moped,scooter
Da Costabuurt,0.0,0.0,1.0,0.0
Westindische Buurt,0.0,0.0,2.0,0.0
Schinkelbuurt,1.0,0.0,2.0,0.0
Willemspark,0.0,0.0,3.0,0.0
Museumkwartier,0.0,0.0,16.0,0.0
Oude Pijp,0.0,4.0,3.0,0.0
Nieuwe Pijp,6.0,5.0,2.0,0.0
Venserpolder,0.0,0.0,1.0,0.0
Stadionbuurt,4.0,0.0,10.0,0.0
Apollobuurt,9.0,0.0,9.0,0.0
Scheldebuurt,11.0,11.0,6.0,0.0
IJselbuurt,0.0,5.0,1.0,0.0
Rijnbuurt,0.0,4.0,4.0,0.0
Prinses Irenebuurt e.o.,5.0,0.0,11.0,0.0
Zuidas,25.0,1.0,80.0,0.0
Buitenveldert-West,15.0,1.0,19.0,0.0
Buitenveldert-Oost,11.0,0.0,18.0,0.0
Overtoomse Sluis,0.0,0.0,3.0,0.0
Helmersbuurt,0.0,0.0,4.0,0.0
Vondelparkbuurt,0.0,1.0,7.0,0.0
Haarlemmerbuurt,0.0,0.0,8.0,0.0
Slotervaart-Zuid,14.0,0.0,2.0,0.0
Jordaan,0.0,0.0,8.0,0.0
Grachtengordel-West,0.0,1.0,12.0,0.0
Westlandgracht,7.0,0.0,3.0,0.0
Sloten/Nieuw-Sloten,10.0,0.0,56.0,0.0
Oostelijk Havengebied,36.0,9.0,33.0,0.0
Weesperzijde,12.0,3.0,4.0,0.0
Oosterparkbuurt,20.0,4.0,2.0,0.0
Transvaalbuurt,1.0,4.0,2.0,0.0
Indische Buurt-West,4.0,2.0,3.0,0.0
Indische Buurt-Oost,5.0,2.0,1.0,0.0
Zeeburgereiland/Bovendiep,7.0,2.0,2.0,0.0
IJburg-West,19.0,5.0,33.0,0.0
IJburg-Zuid,6.0,1.0,16.0,0.0
Frankendael,12.0,8.0,3.0,0.0
Middenmeer,12.0,4.0,16.0,0.0
Betondorp,4.0,2.0,1.0,0.0
Omval/Overamstel,5.0,1.0,6.0,0.0
Burgwallen-Nieuwe Zijde,10.0,0.0,28.0,0.0
Burgwallen-Oude Zijde,13.0,0.0,6.0,0.0
Hoofddorppleinbuurt,8.0,0.0,30.0,0.0
Nieuwmarkt/Lastage,0.0,0.0,13.0,0.0
Grachtengordel-Zuid,0.0,0.0,6.0,0.0
De Weteringschans,17.0,0.0,3.0,0.0
Weesperbuurt/Plantage,0.0,2.0,19.0,0.0
Oostelijke Eilanden/Kadijken,0.0,2.0,12.0,0.0
Noordelijke IJ-oevers-West,5.0,1.0,1.0,0.0
Elzenhagen,5.0,0.0,18.0,0.0
Buikslotermeer,0.0,0.0,9.0,0.0
Volewijck,0.0,1.0,5.0,0.0
IJplein/Vogelbuurt,0.0,0.0,6.0,0.0
Sloterdijk Nieuw-West,7.0,0.0,9.0,0.0
Zuid Pijp,2.0,0.0,0.0,0.0
Geuzenveld,17.0,0.0,8.0,0.0
Slotermeer-Noordoost,4.0,0.0,7.0,0.0
Slotermeer-Zuidoost,3.0,0.0,6.0,0.0
Lutkemeer/Ookmeer,0.0,0.0,10.0,0.0
De Aker,0.0,0.0,5.0,0.0
Dapperbuurt,5.0,4.0,7.0,0.0
Amsterdamse Poort e.o.,0.0,0.0,6.0,0.0
Osdorp-Midden,0.0,0.0,13.0,0.0
Osdorp-Oost,6.0,3.0,5.0,0.0
Overtoomse Veld,9.0,0.0,16.0,0.0
Coenhaven/Minervahaven,2.0,0.0,16.0,0.0
Sloterdijk-West,4.0,2.0,8.0,0.0
Spaarndammerbuurt/Zeeheldenbuurt,0.0,0.0,12.0,0.0
Houthavens,0.0,0.0,1.0,1.0
De Kolenkit,0.0,0.0,2.0,0.0
Landlust,8.0,0.0,13.0,0.0
Erasmuspark,1.0,0.0,2.0,0.0
Centrale Markt,6.0,0.0,28.0,0.0
Staatsliedenbuurt,0.0,0.0,7.0,0.0
Amstel III/Bullewijk,0.0,0.0,39.0,0.0
Frederik Hendrikbuurt,3.0,0.0,1.0,0.0
Van Galenbuurt,0.0,0.0,2.0,0.0
Geuzenbuurt,2.0,1.0,4.0,0.0
Hoofdweg e.o.,3.0,0.0,2.0,0.0
Chassébuurt,2.0,1.0,1.0,0.0
Bellamybuurt,0.0,0.0,1.0,0.0
