Wijk,bicycle,cargo_bicycle,moped,scooter
Westindische Buurt,0.0,0.0,4.0,0.0
Schinkelbuurt,6.0,0.0,5.0,0.0
Willemspark,0.0,0.0,9.0,0.0
Museumkwartier,0.0,0.0,11.0,0.0
Oude Pijp,0.0,3.0,3.0,0.0
Nieuwe Pijp,7.0,3.0,1.0,0.0
Venserpolder,0.0,0.0,2.0,0.0
Stadionbuurt,5.0,0.0,8.0,0.0
Apollobuurt,7.0,0.0,6.0,0.0
Scheldebuurt,6.0,15.0,3.0,0.0
IJselbuurt,0.0,5.0,0.0,0.0
Rijnbuurt,0.0,6.0,0.0,0.0
Van Lennepbuurt,0.0,0.0,2.0,0.0
Prinses Irenebuurt e.o.,4.0,1.0,4.0,0.0
Zuidas,25.0,2.0,97.0,0.0
Buitenveldert-West,28.0,0.0,21.0,0.0
Buitenveldert-Oost,14.0,0.0,8.0,0.0
Overtoomse Sluis,0.0,0.0,1.0,0.0
Vondelparkbuurt,0.0,1.0,5.0,0.0
Haarlemmerbuurt,0.0,2.0,5.0,0.0
Slotervaart-Zuid,19.0,0.0,7.0,0.0
Jordaan,0.0,0.0,12.0,0.0
Grachtengordel-West,0.0,2.0,5.0,0.0
Westlandgracht,12.0,0.0,19.0,0.0
Sloten/Nieuw-Sloten,16.0,0.0,48.0,0.0
Oostelijk Havengebied,27.0,13.0,19.0,0.0
Weesperzijde,6.0,3.0,2.0,0.0
Oosterparkbuurt,25.0,1.0,6.0,0.0
Transvaalbuurt,1.0,3.0,0.0,0.0
Indische Buurt-West,6.0,4.0,1.0,0.0
Indische Buurt-Oost,4.0,1.0,1.0,0.0
Zeeburgereiland/Bovendiep,2.0,3.0,3.0,0.0
IJburg-West,12.0,8.0,31.0,0.0
IJburg-Zuid,2.0,2.0,18.0,0.0
Frankendael,25.0,6.0,5.0,0.0
Middenmeer,19.0,7.0,16.0,0.0
Betondorp,5.0,2.0,0.0,0.0
Omval/Overamstel,5.0,2.0,14.0,0.0
Burgwallen-Nieuwe Zijde,76.0,0.0,25.0,0.0
Burgwallen-Oude Zijde,23.0,0.0,8.0,0.0
Hoofddorppleinbuurt,4.0,0.0,16.0,0.0
Nieuwmarkt/Lastage,0.0,0.0,24.0,0.0
Grachtengordel-Zuid,0.0,0.0,7.0,0.0
De Weteringschans,18.0,0.0,1.0,0.0
Weesperbuurt/Plantage,0.0,2.0,12.0,0.0
Oostelijke Eilanden/Kadijken,0.0,2.0,12.0,0.0
Noordelijke IJ-oevers-West,6.0,1.0,4.0,0.0
Nieuwendammerdijk/Buiksloterdijk,0.0,0.0,2.0,0.0
Elzenhagen,11.0,0.0,8.0,0.0
Buikslotermeer,0.0,0.0,10.0,0.0
Volewijck,0.0,1.0,3.0,0.0
IJplein/Vogelbuurt,0.0,0.0,7.0,0.0
Sloterdijk Nieuw-West,10.0,0.0,22.0,0.0
Zuid Pijp,1.0,0.0,3.0,0.0
Geuzenveld,21.0,0.0,23.0,0.0
Slotermeer-Noordoost,8.0,0.0,1.0,0.0
Slotermeer-Zuidoost,3.0,0.0,4.0,0.0
Lutkemeer/Ookmeer,0.0,0.0,6.0,0.0
De Aker,0.0,0.0,14.0,0.0
Dapperbuurt,4.0,5.0,2.0,0.0
Amsterdamse Poort e.o.,0.0,0.0,5.0,0.0
H-buurt,0.0,0.0,1.0,0.0
Osdorp-Midden,4.0,0.0,4.0,0.0
Osdorp-Oost,6.0,2.0,10.0,0.0
Slotervaart-Noord,0.0,0.0,2.0,0.0
Overtoomse Veld,10.0,0.0,10.0,0.0
Coenhaven/Minervahaven,2.0,0.0,19.0,0.0
Sloterdijk-West,8.0,2.0,14.0,0.0
Spaarndammerbuurt/Zeeheldenbuurt,0.0,0.0,27.0,0.0
Houthavens,0.0,0.0,3.0,1.0
De Kolenkit,6.0,0.0,3.0,0.0
Landlust,10.0,0.0,12.0,0.0
Erasmuspark,1.0,0.0,2.0,0.0
Centrale Markt,10.0,0.0,21.0,0.0
Staatsliedenbuurt,1.0,0.0,3.0,0.0
Amstel III/Bullewijk,0.0,0.0,45.0,0.0
Frederik Hendrikbuurt,6.0,0.0,1.0,0.0
Van Galenbuurt,0.0,0.0,1.0,0.0
Geuzenbuurt,8.0,1.0,0.0,0.0
Hoofdweg e.o.,6.0,0.0,2.0,0.0
Chassébuurt,5.0,1.0,2.0,0.0
