week_day,day,bicycle_flux,cargo_bicycle_flux,moped_flux,scooter_flux,id,bicycle_min,bicycle_max,bicycle_diff,cargo_bicycle_min,cargo_bicycle_max,cargo_bicycle_diff,moped_min,moped_max,moped_diff,scooter_min,scooter_max,scooter_diff,bicycle_avg,cargo_bicycle_avg,moped_avg,scooter_avg,nearest_train_station_name_walking,nearest_train_station_distance_walking,nearest_metro_station_name_walking,nearest_metro_station_distance_walking,nearest_train_station_name_bicycling,nearest_train_station_distance_bicycling,nearest_metro_station_name_bicycling,nearest_metro_station_distance_bicycling,nearest_train_station_name_driving,nearest_train_station_distance_driving,nearest_metro_station_name_driving,nearest_metro_station_distance_driving,nearest_train_station_name_transit,nearest_train_station_distance_transit,nearest_metro_station_name_transit,nearest_metro_station_distance_transit,population,highest_percentage_age,predicted_mean_disposable_household_income
sunday,0,26.0,2.0,62.0,0.0,Buitenveldert-West_0,7.0,15.0,8.0,0.0,1.0,1.0,11.0,28.0,17.0,0.0,0.0,0.0,11.0,0.9166666666666666,19.25,0.0,Amsterdam Zuid Station,994,Station Zuid,1276,Amsterdam Zuid Station,899,Station Zuid,1327,Amsterdam Zuid Station,1562,Amstelveenseweg,2222,Amsterdam Zuid Station,947,Amstelveenseweg,1776.0,14040.0,27 - 65 years (%),51497.7
sunday,0,61.0,0.0,55.0,0.0,Burgwallen-Nieuwe Zijde_0,21.0,34.0,13.0,0.0,0.0,0.0,2.0,13.0,11.0,0.0,0.0,0.0,25.541666666666668,0.0,7.0,0.0,Amsterdam Centraal Station,1139,Rokin,343,Amsterdam Centraal Station,1333,Rokin,751,Amsterdam Centraal Station,2508,Vijzelgracht,2366,Amsterdam Centraal Station,1540,Rokin,343.0,4338.0,27 - 65 years (%),44289.6
sunday,0,31.0,0.0,29.0,0.0,Burgwallen-Oude Zijde_0,16.0,21.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,17.625,0.0,2.5,0.0,Amsterdam Centraal Station,588,Nieuwmarkt,380,Amsterdam Centraal Station,874,Nieuwmarkt,380,Amsterdam Muiderpoort Station,4249,Waterlooplein,2185,Amsterdam Centraal Station,588,Nieuwmarkt,380.0,4569.0,27 - 65 years (%),43223.4
sunday,0,4.0,0.0,32.0,0.0,Centrale Markt_0,4.0,7.0,3.0,0.0,0.0,0.0,3.0,12.0,9.0,0.0,0.0,0.0,5.541666666666667,0.0,7.708333333333333,0.0,Amsterdam Centraal Station,3132,Jan van Galenstraat,1553,Amsterdam Centraal Station,4149,Jan van Galenstraat,1953,Amsterdam Sloterdijk Station,2866,Jan van Galenstraat,1925,Amsterdam Sloterdijk Station,3740,Jan van Galenstraat,1728.0,2339.0,27 - 65 years (%),47928.4
sunday,0,17.0,0.0,29.0,0.0,Chassébuurt_0,1.0,7.0,6.0,1.0,1.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,3.3333333333333335,1.0,3.5833333333333335,0.0,Amsterdam Lelylaan Station,2621,Postjesweg,1184,Amsterdam Lelylaan Station,3095,Postjesweg,1184,Amsterdam Lelylaan Station,3421,Jan van Galenstraat,1394,Amsterdam Lelylaan Station,2829,Postjesweg,1298.0,6061.0,27 - 65 years (%),42976.8
sunday,0,1.0,0.0,16.0,0.0,Coenhaven/Minervahaven_0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,11.0,8.0,0.0,0.0,0.0,1.2083333333333333,0.0,5.583333333333333,0.0,Amsterdam Lelylaan Station,2621,Postjesweg,1184,Amsterdam Sloterdijk Station,5352,Isolatorweg,4761,Amsterdam Sloterdijk Station,4463,Station Sloterdijk,3327,Amsterdam Lelylaan Station,2829,Postjesweg,1298.0,974.0,18 - 26 years (%),39520.1
sunday,0,0.0,0.0,57.0,0.0,Da Costabuurt_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,4.458333333333333,0.0,Amsterdam Centraal Station,2509,Rokin,1633,Amsterdam Centraal Station,2524,Rokin,1729,Amsterdam Zuid Station,3809,Vijzelgracht,2509,Amsterdam Centraal Station,2521,Rokin,2276.0,4742.0,27 - 65 years (%),45726.8
sunday,0,6.0,11.0,35.0,0.0,Dapperbuurt_0,6.0,10.0,4.0,1.0,6.0,5.0,2.0,9.0,7.0,0.0,0.0,0.0,7.458333333333333,4.375,6.083333333333333,0.0,Amsterdam Muiderpoort Station,419,Weesperplein,1614,Amsterdam Muiderpoort Station,426,Wibautstraat,1854,Amsterdam Muiderpoort Station,497,Weesperplein,1832,Amsterdam Muiderpoort Station,419,Weesperplein,1735.0,9996.0,27 - 65 years (%),40904.8
sunday,0,0.0,0.0,24.0,0.0,De Aker_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,3.4583333333333335,0.0,Amsterdam Lelylaan Station,4076,Station Lelylaan,4113,Amsterdam Lelylaan Station,4313,Station Lelylaan,4298,Amsterdam Lelylaan Station,4867,Station Lelylaan,4433,Amsterdam Lelylaan Station,4805,Station Lelylaan,4756.0,14436.0,27 - 65 years (%),54762.2
sunday,0,0.0,0.0,16.0,0.0,De Kolenkit_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.9583333333333333,0.0,Amsterdam Sloterdijk Station,1393,Burg. De Vlugtlaan,262,Amsterdam Sloterdijk Station,2001,Burg. De Vlugtlaan,260,Amsterdam Sloterdijk Station,1854,Burg. De Vlugtlaan,260,Amsterdam Sloterdijk Station,1384,Burg. De Vlugtlaan,262.0,11771.0,27 - 65 years (%),39055.0
