Feature,Importance
walking_Station Sloterdijk,0.00022634657855354683
bicycling_Station Bijlmer ArenA,0.0002234651609552199
transit_Station Bijlmer ArenA,0.00022153246553142797
transit_Vijzelgracht,0.00021820054114447492
bicycling_Wibautstraat,0.0002147815990619981
index_Hoofdweg e.o.,0.0002147769712039662
index_Van Galenbuurt,0.00021416494550541125
index_Oude Pijp,0.00020926431721194887
bicycling_De Pijp,0.00020094909805895946
driving_Station Bijlmer ArenA,0.00019419049515781762
bicycling_Amsterdam Duivendrecht Station,0.00019387193604804374
transit_Amsterdam RAI Station,0.00019340438677433475
driving_Heemstedestraat,0.00018375498191416462
transit_Nieuwmarkt,0.00018070267136842185
walking_Amsterdam Duivendrecht Station,0.00018012584365245207
walking_Europaplein,0.00017895859998354253
driving_Amsterdam Centraal Station,0.0001769808636084938
driving_De Pijp,0.00017133639883486435
index_Slotermeer-Zuidoost,0.00016691934344247747
index_Geuzenbuurt,0.00016223803618116268
index_Spaarndammerbuurt/Zeeheldenbuurt,0.00016153724925824822
bicycling_Waterlooplein,0.00015811992935206017
index_Sloten/Nieuw-Sloten,0.0001536741899210104
walking_Station Holendrecht,0.00013977399333975894
walking_Heemstedestraat,0.00013245653981345441
walking_Nieuwmarkt,0.00013094537663711263
walking_Station Diemen-Zuid,0.0001285584906365394
index_Grachtengordel-West,0.00012648077188188103
index_IJburg-West,0.00012603918939778494
index_Lutkemeer/Ookmeer,0.0001260214333598253
driving_Wibautstraat,0.00012141748388953637
index_De Punt,0.00011788690034888678
walking_Rokin,0.0001120143211148005
index_Scheldebuurt,0.00011191092812313448
walking_Gein,0.00010984752745059868
driving_Station Holendrecht,0.00010239748406927683
index_Nieuwe Pijp,9.144011049000149e-05
transit_De Pijp,8.976649410229256e-05
transit_Isolatorweg,8.844192418998592e-05
transit_Waterlooplein,8.722404126835431e-05
index_De Kolenkit,8.705221613698959e-05
driving_Noorderpark,8.413056859791598e-05
index_Buitenveldert-West,8.371226303546734e-05
transit_Amsterdam Bijlmer ArenA Station,8.312192874912194e-05
index_Osdorp-Oost,8.276809070643065e-05
index_Rijnbuurt,8.136039820497707e-05
index_Apollobuurt,8.10234741255734e-05
index_Zeeburgereiland/Bovendiep,7.6024366445865e-05
index_Van Lennepbuurt,7.360023473416303e-05
transit_Amsterdam Science Park Station,7.235359814266036e-05
walking_Waterlooplein,6.673590281015144e-05
driving_Noord,6.577874286813668e-05
index_Middenmeer,6.465868014753691e-05
bicycling_Heemstedestraat,6.414390317223542e-05
driving_Station RAI,6.302593965682228e-05
walking_Noorderpark,6.269486494806603e-05
index_Prinses Irenebuurt e.o.,6.15978523064148e-05
index_Staatsliedenbuurt,5.931124394761171e-05
index_Oostelijke Eilanden/Kadijken,5.4817752310871e-05
index_Frederik Hendrikbuurt,5.2713256445274055e-05
index_Banne Buiksloot,5.1679411632195904e-05
index_Slotervaart-Zuid,4.9015125683602364e-05
index_Overtoomse Veld,4.7680083263933906e-05
index_Jordaan,4.585729631787154e-05
index_Haarlemmerbuurt,4.496234926730465e-05
index_Slotermeer-Noordoost,4.4410859680527025e-05
walking_De Pijp,4.287366457547557e-05
index_Dapperbuurt,4.237802380339775e-05
transit_Noord,3.899741797950003e-05
index_Sloterdijk-West,3.514638802165988e-05
transit_Henk Sneevlietweg,3.433896538423688e-05
index_Volewijck,3.2192727251692765e-05
walking_Station RAI,3.170569513814426e-05
index_Schinkelbuurt,3.155979958549239e-05
index_Indische Buurt-West,3.150057870178307e-05
index_Osdorp-Midden,3.13996953587616e-05
driving_Amsterdam Science Park Station,3.131807100429817e-05
index_Hoofddorppleinbuurt,3.119263132729632e-05
driving_Kraaiennest station,3.103341561235453e-05
walking_Venserpolder,2.9716435793305947e-05
transit_Station RAI,2.95338282030912e-05
index_Transvaalbuurt,2.8560257599083277e-05
index_Westlandgracht,2.7376611891824092e-05
transit_Noorderpark,2.6608433628500427e-05
bicycling_Venserpolder,2.621303429033156e-05
index_Chassébuurt,2.4554731039956352e-05
index_H-buurt,2.447842558511836e-05
bicycling_Reigersbos,2.4182893384789727e-05
index_Houthavens,2.13871722296247e-05
walking_Reigersbos,2.1174273635438443e-05
index_Westindische Buurt,1.942890708134434e-05
walking_Noord,1.849359597298638e-05
driving_Venserpolder,1.8429195291280366e-05
index_Erasmuspark,1.8029177973313316e-05
walking_Kraaiennest station,1.704214952543552e-05
index_Indische Buurt-Oost,1.641647460369785e-05
index_IJplein/Vogelbuurt,1.5970214671629815e-05
index_Burgwallen-Oude Zijde,1.5208340454685456e-05
transit_Station Diemen-Zuid,1.169902340091081e-05
walking_Amsterdam Bijlmer ArenA Station,1.0993288272940044e-05
driving_Amsterdam Bijlmer ArenA Station,9.640922295444404e-06
index_Venserpolder,7.1408987237475915e-06
index_Buitenveldert-Oost,6.087421145150904e-06
driving_Amsterdam Duivendrecht Station,5.6638103663432216e-06
index_Willemspark,5.11068901362487e-06
index_Zuid Pijp,5.11047945463861e-06
bicycling_Noord,4.284619065363018e-06
index_Oostzanerwerf,3.7395414014598043e-06
index_Nieuwendammerdijk/Buiksloterdijk,2.7505349188476407e-06
bicycling_Amsterdam Bijlmer ArenA Station,2.4852785809027787e-06
index_Bellamybuurt,1.5508400829962193e-06
index_Betondorp,1.500971114673919e-06
driving_Station Ganzenhoef,1.3841319932203147e-06
index_Vondelparkbuurt,1.3231337360760632e-06
index_Helmersbuurt,1.2407715027212824e-06
index_Overtoomse Sluis,1.1846668654607538e-06
index_Ganzenhoef e.o.,1.0335154337857047e-06
index_Slotermeer-West,8.172449097160098e-07
index_Tuindorp Oostzaan,4.719410608983645e-07
index_Waterlandpleinbuurt,3.1376693953732456e-07
index_Tuindorp Buiksloot,9.535553240773693e-08
transit_Reigersbos,6.976256415867584e-08
bicycling_Station Holendrecht,4.5743275742617985e-08
index_Waterland,3.936830718769784e-08
index_Holendrecht,3.037488632101295e-08
index_Bloemendalerpolder,1.3610180294429222e-08
index_Aetsveld/Oostelijke Vechtoever,9.628236308840866e-09
index_Kadoelen,5.715254472996466e-09
index_IJburg-Oost,3.582858458161799e-09
index_Tuindorp Nieuwendam,1.7724722345268923e-09
transit_Gaasperplas,8.614944817476966e-10
index_K-buurt,0.0
