Feature,Importance
index_Haarlemmerbuurt,0.00011579380320636346
bicycling_Wibautstraat,0.00011376946468586006
driving_Europaplein,0.00010713900363919077
index_Weesperzijde,0.00010668974442814777
driving_Station Holendrecht,0.00010045454032999388
index_Slotervaart-Zuid,9.658090770647093e-05
transit_Europaplein,9.536863402690442e-05
bicycling_Burg. De Vlugtlaan,9.441674229485492e-05
walking_Burg. De Vlugtlaan,9.38168433345495e-05
index_Helmersbuurt,9.271420191061223e-05
index_Scheldebuurt,9.20324042595829e-05
index_De Aker,9.182763264316011e-05
index_Overtoomse Veld,9.1317089229675e-05
driving_Amsterdam RAI Station,8.969343625591815e-05
bicycling_Waterlooplein,8.78214313665175e-05
walking_Amstelstation,8.762105522633096e-05
bicycling_Europaplein,8.490934231940101e-05
bicycling_Isolatorweg,8.476551679219254e-05
index_Spaarndammerbuurt/Zeeheldenbuurt,8.47255260940441e-05
walking_Centraal Station,8.354714835955594e-05
transit_Amsterdam Science Park Station,7.734877031452998e-05
driving_Amsterdam Science Park Station,7.608577610415178e-05
index_Amstel III/Bullewijk,7.491202797330515e-05
index_Geuzenbuurt,7.440366647730067e-05
index_Hoofdweg e.o.,7.266145714978697e-05
bicycling_Kraaiennest station,6.811340372571274e-05
index_Transvaalbuurt,6.699477193791001e-05
walking_Europaplein,6.447316253839993e-05
bicycling_Amsterdam Duivendrecht Station,6.341281110279769e-05
transit_Station Diemen-Zuid,6.320483438505551e-05
index_Frankendael,6.314334982556851e-05
index_Betondorp,6.0695816391924746e-05
index_Buitenveldert-Oost,5.8107271979020155e-05
index_Grachtengordel-West,5.7852755511850795e-05
index_Van Galenbuurt,5.630319533079909e-05
walking_Station Diemen-Zuid,5.466424664282185e-05
driving_Heemstedestraat,5.45633767469409e-05
transit_Burg. De Vlugtlaan,5.2906411292926106e-05
walking_Station Holendrecht,5.178635906342478e-05
index_Zeeburgereiland/Bovendiep,5.048922555362404e-05
transit_Station Zuid,4.75698856462259e-05
index_Overtoomse Sluis,4.7381739479408106e-05
driving_Station RAI,4.4790076473484165e-05
index_Landlust,4.4429546084989935e-05
bicycling_Station Zuid,4.283545170745458e-05
index_Buitenveldert-West,4.2330809181370445e-05
index_Frederik Hendrikbuurt,4.165399047246727e-05
index_Slotermeer-Zuidoost,3.813568056653461e-05
transit_Amsterdam Bijlmer ArenA Station,3.813108012407888e-05
index_Prinses Irenebuurt e.o.,3.734955285976516e-05
index_Middenmeer,3.666176806543923e-05
index_Dapperbuurt,3.623158752910934e-05
walking_De Pijp,3.548780207854361e-05
index_Sloterdijk-West,3.512773885716806e-05
transit_Amsterdam Duivendrecht Station,3.425965556990719e-05
transit_Waterlooplein,3.369614024345551e-05
walking_Noorderpark,3.0663280003746054e-05
index_Indische Buurt-West,2.9836187129479525e-05
walking_Heemstedestraat,2.9317758935294198e-05
index_Hoofddorppleinbuurt,2.9210507144739404e-05
