0,1,Polygon
moped,8.0,0
moped,11.0,1
bicycle,1.0,2
moped,1.0,2
moped,2.0,3
moped,30.0,4
cargo_bicycle,2.0,5
moped,17.0,5
bicycle,6.0,6
cargo_bicycle,2.0,6
moped,10.0,6
bicycle,12.0,8
moped,23.0,8
bicycle,8.0,9
moped,8.0,9
bicycle,11.0,10
cargo_bicycle,12.0,10
moped,7.0,10
cargo_bicycle,6.0,11
moped,5.0,11
cargo_bicycle,6.0,12
moped,7.0,12
moped,11.0,13
bicycle,4.0,14
cargo_bicycle,1.0,14
moped,2.0,14
bicycle,39.0,15
cargo_bicycle,1.0,15
moped,16.0,15
bicycle,14.0,16
cargo_bicycle,1.0,16
moped,19.0,16
bicycle,5.0,17
moped,6.0,17
moped,9.0,18
moped,9.0,19
cargo_bicycle,2.0,20
moped,5.0,20
cargo_bicycle,1.0,21
moped,14.0,21
bicycle,12.0,22
moped,7.0,22
moped,40.0,23
cargo_bicycle,1.0,24
moped,11.0,24
bicycle,3.0,25
moped,9.0,25
bicycle,10.0,26
moped,9.0,26
bicycle,36.0,27
cargo_bicycle,11.0,27
moped,22.0,27
bicycle,12.0,28
cargo_bicycle,3.0,28
moped,2.0,28
bicycle,20.0,29
cargo_bicycle,3.0,29
moped,5.0,29
bicycle,3.0,30
cargo_bicycle,3.0,30
moped,4.0,30
bicycle,3.0,31
cargo_bicycle,3.0,31
moped,6.0,31
bicycle,3.0,32
cargo_bicycle,1.0,32
moped,9.0,32
bicycle,3.0,33
cargo_bicycle,3.0,33
moped,10.0,33
bicycle,15.0,34
cargo_bicycle,7.0,34
moped,16.0,34
bicycle,10.0,36
cargo_bicycle,2.0,36
moped,36.0,36
bicycle,22.0,37
cargo_bicycle,8.0,37
moped,7.0,37
bicycle,19.0,38
cargo_bicycle,7.0,38
moped,14.0,38
bicycle,6.0,39
moped,3.0,39
bicycle,5.0,40
cargo_bicycle,4.0,40
moped,11.0,40
bicycle,46.0,41
moped,20.0,41
bicycle,14.0,42
moped,3.0,42
bicycle,11.0,43
moped,15.0,43
moped,14.0,44
moped,30.0,45
bicycle,19.0,46
moped,18.0,46
cargo_bicycle,3.0,47
moped,6.0,47
cargo_bicycle,2.0,48
moped,8.0,48
bicycle,6.0,50
cargo_bicycle,1.0,50
moped,6.0,50
bicycle,9.0,55
moped,15.0,55
moped,11.0,56
cargo_bicycle,1.0,58
moped,2.0,58
moped,4.0,59
moped,2.0,62
bicycle,18.0,65
moped,8.0,65
moped,3.0,66
bicycle,19.0,67
moped,5.0,67
bicycle,4.0,69
bicycle,2.0,70
moped,5.0,70
moped,2.0,71
moped,9.0,72
bicycle,4.0,74
cargo_bicycle,4.0,74
moped,2.0,74
moped,10.0,75
moped,3.0,76
bicycle,1.0,85
moped,4.0,85
bicycle,5.0,86
cargo_bicycle,1.0,86
moped,6.0,86
moped,1.0,87
bicycle,13.0,88
moped,4.0,88
bicycle,2.0,94
moped,9.0,94
bicycle,2.0,95
cargo_bicycle,2.0,95
moped,5.0,95
moped,21.0,96
moped,3.0,97
scooter,1.0,97
bicycle,5.0,98
moped,3.0,98
bicycle,4.0,99
moped,17.0,99
bicycle,1.0,100
moped,2.0,100
bicycle,4.0,101
moped,15.0,101
bicycle,1.0,102
moped,16.0,102
moped,26.0,103
bicycle,3.0,104
moped,9.0,104
moped,9.0,105
bicycle,7.0,106
cargo_bicycle,1.0,106
moped,8.0,106
bicycle,4.0,107
moped,12.0,107
bicycle,5.0,108
moped,10.0,108
moped,4.0,109
