0,1,Polygon
moped,4.0,0
bicycle,1.0,2
moped,3.0,2
moped,3.0,3
moped,12.0,4
cargo_bicycle,3.0,5
moped,17.0,5
bicycle,5.0,6
cargo_bicycle,1.0,6
moped,6.0,6
moped,1.0,7
bicycle,3.0,8
moped,5.0,8
bicycle,4.0,9
moped,6.0,9
bicycle,6.0,10
cargo_bicycle,5.0,10
moped,4.0,10
cargo_bicycle,5.0,11
moped,1.0,11
cargo_bicycle,4.0,12
moped,4.0,12
moped,2.0,13
bicycle,6.0,14
moped,2.0,14
bicycle,21.0,15
cargo_bicycle,2.0,15
moped,24.0,15
bicycle,15.0,16
moped,21.0,16
bicycle,11.0,17
moped,5.0,17
moped,2.0,18
moped,2.0,19
moped,2.0,20
cargo_bicycle,1.0,21
moped,4.0,21
bicycle,8.0,22
moped,7.0,22
moped,13.0,23
cargo_bicycle,1.0,24
moped,10.0,24
bicycle,1.0,25
moped,4.0,25
bicycle,5.0,26
moped,39.0,26
bicycle,20.0,27
cargo_bicycle,10.0,27
moped,19.0,27
bicycle,11.0,28
cargo_bicycle,2.0,28
moped,6.0,28
bicycle,17.0,29
cargo_bicycle,1.0,29
moped,2.0,29
bicycle,2.0,30
cargo_bicycle,1.0,30
moped,3.0,30
bicycle,4.0,31
bicycle,5.0,32
cargo_bicycle,1.0,32
moped,2.0,32
bicycle,5.0,33
cargo_bicycle,1.0,33
moped,15.0,33
bicycle,11.0,34
cargo_bicycle,4.0,34
moped,23.0,34
bicycle,6.0,36
moped,24.0,36
bicycle,18.0,37
cargo_bicycle,6.0,37
moped,10.0,37
bicycle,8.0,38
cargo_bicycle,5.0,38
moped,8.0,38
bicycle,4.0,39
cargo_bicycle,1.0,39
moped,1.0,39
bicycle,1.0,40
cargo_bicycle,2.0,40
moped,12.0,40
bicycle,20.0,41
moped,11.0,41
bicycle,10.0,42
moped,6.0,42
bicycle,2.0,43
moped,7.0,43
moped,15.0,44
moped,9.0,45
bicycle,15.0,46
moped,2.0,46
cargo_bicycle,3.0,47
moped,8.0,47
cargo_bicycle,2.0,48
moped,6.0,48
bicycle,5.0,50
moped,2.0,50
moped,2.0,54
bicycle,6.0,55
moped,27.0,55
moped,6.0,56
moped,4.0,58
moped,9.0,59
bicycle,13.0,65
moped,6.0,65
moped,5.0,66
bicycle,11.0,67
moped,11.0,67
moped,1.0,68
moped,8.0,69
moped,5.0,70
moped,8.0,71
moped,5.0,72
moped,3.0,73
bicycle,4.0,74
cargo_bicycle,1.0,74
moped,9.0,74
moped,6.0,75
moped,1.0,76
moped,4.0,85
bicycle,5.0,86
moped,7.0,86
moped,2.0,87
bicycle,6.0,88
moped,2.0,88
bicycle,1.0,94
moped,4.0,94
bicycle,2.0,95
cargo_bicycle,2.0,95
moped,7.0,95
moped,11.0,96
moped,3.0,97
scooter,1.0,97
bicycle,1.0,98
moped,4.0,98
bicycle,6.0,99
moped,3.0,99
bicycle,1.0,100
bicycle,5.0,101
moped,16.0,101
moped,3.0,102
moped,25.0,103
bicycle,1.0,104
moped,4.0,104
moped,3.0,105
bicycle,2.0,106
cargo_bicycle,1.0,106
moped,4.0,106
moped,5.0,107
bicycle,3.0,108
cargo_bicycle,1.0,108
moped,3.0,108
moped,1.0,109
