0,1,Polygon
moped,1.0,0
moped,1.0,1
bicycle,6.0,2
moped,1.0,2
moped,4.0,3
moped,12.0,4
moped,5.0,5
bicycle,7.0,6
cargo_bicycle,4.0,6
moped,6.0,6
bicycle,12.0,8
moped,15.0,8
bicycle,11.0,9
moped,11.0,9
bicycle,7.0,10
cargo_bicycle,13.0,10
moped,7.0,10
cargo_bicycle,6.0,11
cargo_bicycle,8.0,12
moped,3.0,12
bicycle,4.0,14
cargo_bicycle,1.0,14
moped,8.0,14
bicycle,34.0,15
cargo_bicycle,2.0,15
moped,88.0,15
bicycle,19.0,16
moped,26.0,16
bicycle,16.0,17
moped,3.0,17
moped,6.0,19
cargo_bicycle,2.0,20
moped,3.0,20
cargo_bicycle,1.0,21
moped,12.0,21
bicycle,18.0,22
moped,2.0,22
moped,19.0,23
cargo_bicycle,2.0,24
moped,12.0,24
bicycle,14.0,25
moped,6.0,25
bicycle,12.0,26
moped,50.0,26
bicycle,36.0,27
cargo_bicycle,12.0,27
moped,14.0,27
bicycle,11.0,28
cargo_bicycle,3.0,28
moped,7.0,28
bicycle,32.0,29
cargo_bicycle,5.0,29
moped,8.0,29
bicycle,2.0,30
cargo_bicycle,4.0,30
moped,2.0,30
bicycle,4.0,31
cargo_bicycle,5.0,31
moped,3.0,31
bicycle,5.0,32
cargo_bicycle,2.0,32
bicycle,3.0,33
cargo_bicycle,2.0,33
bicycle,11.0,34
cargo_bicycle,8.0,34
moped,27.0,34
bicycle,8.0,36
cargo_bicycle,2.0,36
moped,14.0,36
bicycle,25.0,37
cargo_bicycle,6.0,37
moped,6.0,37
bicycle,20.0,38
cargo_bicycle,6.0,38
moped,19.0,38
bicycle,6.0,39
cargo_bicycle,2.0,39
bicycle,4.0,40
cargo_bicycle,5.0,40
moped,14.0,40
bicycle,73.0,41
moped,21.0,41
bicycle,20.0,42
moped,7.0,42
bicycle,13.0,43
moped,19.0,43
moped,33.0,44
moped,21.0,45
bicycle,22.0,46
moped,5.0,46
cargo_bicycle,3.0,47
moped,14.0,47
cargo_bicycle,1.0,48
moped,9.0,48
bicycle,6.0,50
moped,4.0,50
moped,3.0,54
bicycle,11.0,55
moped,9.0,55
moped,9.0,56
moped,2.0,58
moped,7.0,59
moped,1.0,63
bicycle,8.0,65
moped,24.0,65
moped,2.0,66
bicycle,22.0,67
moped,22.0,67
bicycle,7.0,69
moped,4.0,69
bicycle,2.0,70
moped,3.0,70
moped,4.0,71
moped,10.0,72
moped,2.0,73
bicycle,6.0,74
cargo_bicycle,5.0,74
moped,3.0,74
moped,8.0,75
moped,2.0,76
bicycle,4.0,85
moped,4.0,85
bicycle,10.0,86
cargo_bicycle,2.0,86
moped,9.0,86
moped,2.0,87
bicycle,10.0,88
moped,6.0,88
bicycle,2.0,94
moped,13.0,94
bicycle,4.0,95
cargo_bicycle,2.0,95
moped,12.0,95
moped,17.0,96
moped,3.0,97
scooter,1.0,97
bicycle,3.0,98
bicycle,11.0,99
moped,7.0,99
bicycle,1.0,100
moped,5.0,100
bicycle,7.0,101
moped,17.0,101
moped,6.0,102
moped,38.0,103
bicycle,6.0,104
moped,2.0,104
moped,2.0,105
bicycle,8.0,106
cargo_bicycle,1.0,106
moped,3.0,106
bicycle,6.0,107
moped,6.0,107
bicycle,5.0,108
cargo_bicycle,1.0,108
moped,5.0,108
moped,3.0,109
