0,1,Polygon
moped,1.0,0
bicycle,1.0,2
moped,3.0,3
moped,19.0,4
cargo_bicycle,2.0,5
moped,15.0,5
bicycle,7.0,6
cargo_bicycle,3.0,6
moped,3.0,6
moped,1.0,7
bicycle,15.0,8
moped,9.0,8
bicycle,11.0,9
moped,6.0,9
bicycle,12.0,10
cargo_bicycle,10.0,10
moped,3.0,10
cargo_bicycle,5.0,11
moped,1.0,11
cargo_bicycle,5.0,12
moped,6.0,12
bicycle,5.0,14
moped,17.0,14
bicycle,36.0,15
cargo_bicycle,2.0,15
moped,99.0,15
bicycle,11.0,16
moped,21.0,16
bicycle,4.0,17
moped,5.0,17
moped,2.0,18
moped,2.0,19
cargo_bicycle,1.0,21
moped,7.0,21
bicycle,8.0,22
moped,4.0,22
moped,13.0,23
cargo_bicycle,1.0,24
moped,16.0,24
bicycle,4.0,25
moped,14.0,25
bicycle,8.0,26
moped,26.0,26
bicycle,34.0,27
cargo_bicycle,13.0,27
moped,13.0,27
bicycle,4.0,28
cargo_bicycle,2.0,28
moped,10.0,28
bicycle,19.0,29
cargo_bicycle,1.0,29
moped,10.0,29
moped,3.0,30
bicycle,3.0,31
cargo_bicycle,2.0,31
moped,2.0,31
bicycle,3.0,32
cargo_bicycle,2.0,32
moped,2.0,32
bicycle,3.0,33
cargo_bicycle,3.0,33
moped,5.0,33
bicycle,9.0,34
cargo_bicycle,8.0,34
moped,16.0,34
bicycle,7.0,36
cargo_bicycle,2.0,36
moped,40.0,36
bicycle,11.0,37
cargo_bicycle,6.0,37
moped,17.0,37
bicycle,21.0,38
cargo_bicycle,6.0,38
moped,16.0,38
bicycle,4.0,39
cargo_bicycle,1.0,39
moped,1.0,39
bicycle,4.0,40
cargo_bicycle,3.0,40
moped,9.0,40
bicycle,69.0,41
moped,18.0,41
bicycle,15.0,42
moped,10.0,42
bicycle,11.0,43
moped,30.0,43
moped,27.0,44
moped,25.0,45
bicycle,14.0,46
moped,5.0,46
cargo_bicycle,2.0,47
moped,31.0,47
cargo_bicycle,2.0,48
moped,20.0,48
bicycle,5.0,50
cargo_bicycle,1.0,50
moped,2.0,50
bicycle,10.0,55
moped,22.0,55
moped,18.0,56
cargo_bicycle,1.0,58
moped,3.0,58
moped,14.0,59
moped,2.0,62
bicycle,14.0,65
moped,9.0,65
bicycle,18.0,67
moped,12.0,67
bicycle,5.0,69
moped,4.0,69
bicycle,2.0,70
moped,4.0,71
moped,11.0,72
moped,1.0,73
bicycle,10.0,74
cargo_bicycle,2.0,74
moped,5.0,74
moped,10.0,75
moped,1.0,76
bicycle,1.0,85
moped,5.0,85
bicycle,4.0,86
cargo_bicycle,1.0,86
moped,5.0,86
moped,3.0,87
bicycle,10.0,88
moped,5.0,88
bicycle,2.0,94
moped,14.0,94
bicycle,3.0,95
cargo_bicycle,2.0,95
moped,11.0,95
moped,6.0,96
scooter,1.0,97
bicycle,1.0,98
bicycle,9.0,99
moped,10.0,99
bicycle,1.0,100
moped,1.0,100
bicycle,7.0,101
moped,22.0,101
bicycle,1.0,102
moped,2.0,102
moped,36.0,103
bicycle,7.0,104
moped,6.0,104
moped,1.0,105
bicycle,10.0,106
cargo_bicycle,1.0,106
moped,2.0,106
bicycle,7.0,107
bicycle,8.0,108
moped,3.0,108
moped,1.0,109
