0,1,Polygon
moped,5.0,0
moped,5.0,1
bicycle,4.0,2
moped,4.0,2
moped,5.0,3
moped,9.0,4
cargo_bicycle,2.0,5
moped,13.0,5
bicycle,4.0,6
cargo_bicycle,3.0,6
moped,5.0,6
bicycle,6.0,8
moped,16.0,8
bicycle,3.0,9
moped,9.0,9
bicycle,4.0,10
cargo_bicycle,13.0,10
moped,8.0,10
cargo_bicycle,5.0,11
moped,2.0,11
cargo_bicycle,8.0,12
moped,3.0,12
moped,7.0,13
bicycle,5.0,14
bicycle,26.0,15
cargo_bicycle,2.0,15
moped,18.0,15
bicycle,24.0,16
moped,17.0,16
bicycle,11.0,17
moped,3.0,17
moped,12.0,18
moped,12.0,19
moped,4.0,20
cargo_bicycle,1.0,21
moped,6.0,21
bicycle,15.0,22
moped,3.0,22
moped,22.0,23
cargo_bicycle,1.0,24
moped,7.0,24
bicycle,13.0,25
moped,9.0,25
bicycle,15.0,26
moped,33.0,26
bicycle,23.0,27
cargo_bicycle,13.0,27
moped,19.0,27
bicycle,4.0,28
cargo_bicycle,3.0,28
moped,4.0,28
bicycle,15.0,29
cargo_bicycle,2.0,29
moped,4.0,29
bicycle,2.0,30
cargo_bicycle,4.0,30
moped,9.0,30
bicycle,3.0,31
cargo_bicycle,5.0,31
moped,4.0,31
bicycle,5.0,32
cargo_bicycle,2.0,32
bicycle,3.0,33
cargo_bicycle,2.0,33
moped,12.0,33
bicycle,11.0,34
cargo_bicycle,6.0,34
moped,21.0,34
cargo_bicycle,1.0,36
moped,24.0,36
bicycle,14.0,37
cargo_bicycle,7.0,37
moped,15.0,37
bicycle,14.0,38
cargo_bicycle,8.0,38
moped,10.0,38
bicycle,5.0,39
cargo_bicycle,2.0,39
moped,1.0,39
bicycle,6.0,40
cargo_bicycle,3.0,40
moped,29.0,40
bicycle,59.0,41
moped,14.0,41
bicycle,14.0,42
moped,7.0,42
bicycle,4.0,43
moped,16.0,43
moped,22.0,44
moped,7.0,45
bicycle,16.0,46
moped,6.0,46
cargo_bicycle,2.0,47
moped,5.0,47
cargo_bicycle,2.0,48
moped,12.0,48
bicycle,6.0,50
cargo_bicycle,1.0,50
moped,11.0,50
moped,1.0,54
bicycle,12.0,55
moped,9.0,55
moped,9.0,56
cargo_bicycle,1.0,58
moped,4.0,58
moped,5.0,59
bicycle,21.0,65
moped,8.0,65
bicycle,3.0,66
moped,2.0,66
bicycle,21.0,67
moped,16.0,67
bicycle,5.0,69
moped,6.0,69
bicycle,2.0,70
moped,4.0,70
moped,2.0,71
moped,11.0,72
bicycle,3.0,74
cargo_bicycle,5.0,74
moped,8.0,74
moped,5.0,75
moped,1.0,76
bicycle,3.0,85
moped,10.0,85
bicycle,2.0,86
cargo_bicycle,2.0,86
moped,7.0,86
moped,1.0,87
bicycle,13.0,88
moped,10.0,88
bicycle,2.0,94
moped,9.0,94
bicycle,4.0,95
cargo_bicycle,2.0,95
moped,19.0,95
moped,34.0,96
moped,16.0,97
scooter,1.0,97
bicycle,3.0,98
moped,1.0,98
bicycle,5.0,99
moped,20.0,99
bicycle,1.0,100
moped,5.0,100
bicycle,1.0,101
moped,18.0,101
moped,6.0,102
moped,37.0,103
bicycle,5.0,104
moped,2.0,104
moped,8.0,105
bicycle,7.0,106
cargo_bicycle,1.0,106
moped,3.0,106
bicycle,3.0,107
moped,19.0,107
bicycle,1.0,108
moped,7.0,108
moped,5.0,109
