Polygon,0,1
1,moped,2.0
2,bicycle,4.0
2,moped,2.0
3,moped,7.0
4,moped,18.0
5,cargo_bicycle,3.0
5,moped,14.0
6,bicycle,5.0
6,cargo_bicycle,4.0
6,moped,3.0
7,moped,1.0
8,bicycle,7.0
8,moped,16.0
9,bicycle,13.0
9,moped,8.0
10,bicycle,9.0
10,cargo_bicycle,14.0
10,moped,6.0
11,cargo_bicycle,7.0
11,moped,5.0
12,cargo_bicycle,2.0
12,moped,3.0
13,moped,2.0
14,bicycle,4.0
14,cargo_bicycle,1.0
14,moped,17.0
15,bicycle,33.0
15,cargo_bicycle,1.0
15,moped,97.0
16,bicycle,19.0
16,cargo_bicycle,1.0
16,moped,22.0
17,bicycle,8.0
17,moped,5.0
18,moped,4.0
19,moped,7.0
20,moped,4.0
21,moped,11.0
22,bicycle,11.0
22,moped,5.0
23,moped,18.0
24,moped,9.0
25,bicycle,7.0
25,moped,9.0
26,bicycle,12.0
26,moped,37.0
27,bicycle,44.0
27,cargo_bicycle,10.0
27,moped,18.0
28,bicycle,11.0
28,cargo_bicycle,3.0
28,moped,10.0
29,bicycle,34.0
29,moped,7.0
30,bicycle,4.0
30,cargo_bicycle,3.0
30,moped,3.0
31,bicycle,3.0
31,cargo_bicycle,2.0
32,bicycle,3.0
32,cargo_bicycle,2.0
32,moped,3.0
33,bicycle,5.0
33,cargo_bicycle,2.0
33,moped,6.0
34,bicycle,13.0
34,cargo_bicycle,8.0
34,moped,18.0
36,bicycle,5.0
36,cargo_bicycle,1.0
36,moped,26.0
37,bicycle,18.0
37,cargo_bicycle,6.0
37,moped,19.0
38,bicycle,14.0
38,cargo_bicycle,6.0
38,moped,22.0
39,bicycle,3.0
39,cargo_bicycle,1.0
39,moped,1.0
40,bicycle,6.0
40,cargo_bicycle,2.0
40,moped,17.0
41,bicycle,55.0
41,moped,18.0
42,bicycle,22.0
42,moped,4.0
43,bicycle,5.0
43,moped,22.0
44,moped,26.0
45,moped,13.0
46,bicycle,22.0
46,moped,3.0
47,cargo_bicycle,3.0
47,moped,18.0
48,cargo_bicycle,2.0
48,moped,13.0
50,bicycle,5.0
50,moped,3.0
55,bicycle,7.0
55,moped,13.0
56,moped,10.0
58,cargo_bicycle,1.0
58,moped,2.0
59,moped,4.0
62,moped,2.0
65,bicycle,8.0
65,moped,21.0
66,bicycle,1.0
66,moped,2.0
67,bicycle,16.0
67,moped,8.0
69,bicycle,13.0
69,moped,1.0
70,moped,6.0
71,moped,6.0
72,moped,8.0
74,bicycle,8.0
74,cargo_bicycle,3.0
74,moped,5.0
75,moped,10.0
76,moped,3.0
85,bicycle,1.0
85,moped,9.0
86,bicycle,5.0
86,moped,4.0
87,moped,2.0
88,bicycle,11.0
88,moped,6.0
94,bicycle,4.0
94,moped,24.0
95,bicycle,2.0
95,cargo_bicycle,2.0
95,moped,12.0
96,moped,8.0
97,scooter,1.0
98,bicycle,7.0
98,moped,3.0
99,bicycle,17.0
99,moped,10.0
100,bicycle,3.0
100,moped,3.0
101,bicycle,7.0
101,moped,19.0
102,bicycle,1.0
102,moped,4.0
103,moped,17.0
104,bicycle,5.0
104,moped,2.0
105,moped,1.0
106,bicycle,2.0
106,cargo_bicycle,1.0
106,moped,3.0
107,bicycle,2.0
107,moped,3.0
108,bicycle,6.0
108,cargo_bicycle,1.0
109,moped,6.0
