0,1,Polygon
moped,7.0,0
moped,3.0,1
moped,5.0,2
moped,5.0,3
moped,13.0,4
cargo_bicycle,2.0,5
moped,13.0,5
bicycle,4.0,6
cargo_bicycle,2.0,6
moped,12.0,6
moped,2.0,7
bicycle,1.0,8
moped,23.0,8
bicycle,4.0,9
moped,5.0,9
bicycle,6.0,10
cargo_bicycle,9.0,10
moped,8.0,10
cargo_bicycle,7.0,11
moped,4.0,11
cargo_bicycle,6.0,12
moped,5.0,12
moped,7.0,13
bicycle,5.0,14
moped,5.0,14
bicycle,14.0,15
cargo_bicycle,2.0,15
moped,29.0,15
bicycle,16.0,16
moped,35.0,16
bicycle,7.0,17
moped,10.0,17
moped,2.0,18
moped,10.0,19
moped,3.0,20
moped,5.0,21
bicycle,6.0,22
moped,14.0,22
moped,25.0,23
moped,10.0,24
moped,6.0,25
bicycle,7.0,26
moped,39.0,26
bicycle,20.0,27
cargo_bicycle,11.0,27
moped,22.0,27
bicycle,6.0,28
cargo_bicycle,2.0,28
bicycle,9.0,29
cargo_bicycle,5.0,29
moped,5.0,29
cargo_bicycle,4.0,30
moped,3.0,30
bicycle,1.0,31
cargo_bicycle,3.0,31
moped,5.0,31
bicycle,2.0,32
cargo_bicycle,2.0,32
moped,1.0,32
bicycle,5.0,33
cargo_bicycle,2.0,33
moped,8.0,33
bicycle,19.0,34
cargo_bicycle,2.0,34
moped,28.0,34
bicycle,6.0,36
cargo_bicycle,1.0,36
moped,22.0,36
bicycle,10.0,37
cargo_bicycle,5.0,37
moped,7.0,37
bicycle,9.0,38
cargo_bicycle,4.0,38
moped,18.0,38
bicycle,2.0,39
cargo_bicycle,2.0,39
moped,3.0,39
cargo_bicycle,1.0,40
moped,6.0,40
bicycle,8.0,41
moped,19.0,41
bicycle,8.0,42
moped,4.0,42
bicycle,6.0,43
moped,14.0,43
moped,21.0,44
moped,11.0,45
bicycle,14.0,46
moped,5.0,46
moped,4.0,47
cargo_bicycle,2.0,48
moped,10.0,48
bicycle,5.0,50
cargo_bicycle,1.0,50
moped,7.0,50
moped,1.0,54
bicycle,8.0,55
moped,19.0,55
moped,8.0,56
moped,8.0,58
moped,7.0,59
moped,1.0,60
moped,1.0,62
bicycle,5.0,65
moped,4.0,65
moped,5.0,66
bicycle,14.0,67
moped,11.0,67
moped,1.0,68
moped,5.0,69
bicycle,1.0,70
moped,6.0,70
moped,6.0,71
bicycle,4.0,74
cargo_bicycle,2.0,74
moped,8.0,74
moped,4.0,75
moped,1.0,76
bicycle,2.0,85
moped,11.0,85
bicycle,4.0,86
cargo_bicycle,2.0,86
moped,5.0,86
moped,1.0,87
bicycle,4.0,88
moped,3.0,88
bicycle,1.0,94
moped,2.0,94
bicycle,1.0,95
cargo_bicycle,1.0,95
moped,2.0,95
moped,14.0,96
moped,1.0,97
scooter,1.0,97
moped,4.0,98
bicycle,2.0,99
moped,9.0,99
bicycle,1.0,100
moped,5.0,100
bicycle,5.0,101
moped,17.0,101
moped,9.0,102
moped,31.0,103
moped,11.0,104
moped,7.0,105
cargo_bicycle,1.0,106
moped,5.0,106
moped,3.0,107
bicycle,3.0,108
cargo_bicycle,1.0,108
moped,4.0,108
moped,2.0,109
