0,1,Polygon
moped,1.0,0
moped,5.0,1
bicycle,6.0,2
moped,5.0,2
moped,5.0,3
moped,10.0,4
cargo_bicycle,1.0,5
moped,23.0,5
bicycle,7.0,6
cargo_bicycle,1.0,6
moped,3.0,6
moped,2.0,7
bicycle,10.0,8
moped,10.0,8
bicycle,7.0,9
moped,6.0,9
bicycle,5.0,10
cargo_bicycle,12.0,10
moped,12.0,10
cargo_bicycle,6.0,11
moped,2.0,11
cargo_bicycle,7.0,12
moped,3.0,12
moped,3.0,13
bicycle,4.0,14
cargo_bicycle,1.0,14
bicycle,27.0,15
cargo_bicycle,2.0,15
moped,47.0,15
bicycle,28.0,16
moped,23.0,16
bicycle,14.0,17
moped,3.0,17
moped,3.0,18
moped,8.0,19
cargo_bicycle,1.0,20
moped,4.0,20
cargo_bicycle,2.0,21
moped,8.0,21
bicycle,19.0,22
moped,8.0,22
moped,9.0,23
cargo_bicycle,2.0,24
moped,3.0,24
bicycle,11.0,25
moped,6.0,25
bicycle,17.0,26
moped,38.0,26
bicycle,33.0,27
cargo_bicycle,12.0,27
moped,15.0,27
bicycle,8.0,28
cargo_bicycle,1.0,28
moped,1.0,28
bicycle,21.0,29
cargo_bicycle,1.0,29
moped,4.0,29
bicycle,1.0,30
cargo_bicycle,4.0,30
moped,3.0,30
bicycle,5.0,31
cargo_bicycle,5.0,31
moped,3.0,31
bicycle,4.0,32
cargo_bicycle,1.0,32
bicycle,3.0,33
cargo_bicycle,3.0,33
moped,5.0,33
bicycle,12.0,34
cargo_bicycle,7.0,34
moped,28.0,34
bicycle,6.0,36
cargo_bicycle,2.0,36
moped,18.0,36
bicycle,25.0,37
cargo_bicycle,7.0,37
moped,7.0,37
bicycle,17.0,38
cargo_bicycle,6.0,38
moped,10.0,38
bicycle,5.0,39
cargo_bicycle,2.0,39
moped,1.0,39
bicycle,5.0,40
cargo_bicycle,4.0,40
moped,19.0,40
bicycle,73.0,41
moped,29.0,41
bicycle,20.0,42
moped,8.0,42
bicycle,2.0,43
moped,22.0,43
moped,21.0,44
moped,12.0,45
bicycle,16.0,46
moped,6.0,46
cargo_bicycle,3.0,47
moped,4.0,47
cargo_bicycle,2.0,48
moped,9.0,48
bicycle,6.0,50
cargo_bicycle,1.0,50
moped,5.0,50
moped,2.0,54
bicycle,11.0,55
moped,8.0,55
moped,10.0,56
cargo_bicycle,1.0,58
moped,4.0,58
moped,7.0,59
bicycle,6.0,65
moped,18.0,65
bicycle,1.0,66
moped,6.0,66
bicycle,22.0,67
moped,20.0,67
bicycle,8.0,69
moped,3.0,69
bicycle,2.0,70
moped,5.0,70
moped,4.0,71
moped,15.0,72
moped,1.0,73
bicycle,4.0,74
cargo_bicycle,4.0,74
moped,10.0,74
moped,6.0,75
moped,2.0,76
bicycle,4.0,85
moped,6.0,85
bicycle,6.0,86
cargo_bicycle,2.0,86
moped,8.0,86
moped,1.0,87
bicycle,10.0,88
moped,3.0,88
bicycle,3.0,94
moped,6.0,94
bicycle,8.0,95
cargo_bicycle,2.0,95
moped,8.0,95
moped,28.0,96
scooter,1.0,97
bicycle,4.0,98
moped,1.0,98
bicycle,12.0,99
moped,15.0,99
bicycle,1.0,100
moped,6.0,100
bicycle,8.0,101
moped,12.0,101
bicycle,1.0,102
moped,4.0,102
moped,36.0,103
bicycle,6.0,104
moped,5.0,104
moped,5.0,105
bicycle,8.0,106
cargo_bicycle,1.0,106
moped,7.0,106
bicycle,6.0,107
moped,5.0,107
bicycle,4.0,108
cargo_bicycle,1.0,108
moped,4.0,108
moped,7.0,109
