0,1,Polygon
moped,20.0,0
moped,8.0,1
bicycle,2.0,2
moped,3.0,2
moped,2.0,3
moped,6.0,4
cargo_bicycle,3.0,5
moped,38.0,5
bicycle,5.0,6
cargo_bicycle,4.0,6
moped,14.0,6
moped,1.0,7
bicycle,3.0,8
moped,17.0,8
bicycle,4.0,9
moped,2.0,9
bicycle,6.0,10
cargo_bicycle,12.0,10
moped,13.0,10
cargo_bicycle,7.0,11
moped,9.0,11
cargo_bicycle,7.0,12
moped,9.0,12
moped,9.0,13
bicycle,4.0,14
moped,1.0,14
bicycle,21.0,15
cargo_bicycle,2.0,15
moped,19.0,15
bicycle,22.0,16
moped,7.0,16
bicycle,8.0,17
moped,11.0,17
moped,7.0,18
moped,6.0,19
moped,4.0,20
moped,2.0,21
bicycle,6.0,22
moped,15.0,22
moped,20.0,23
moped,6.0,24
bicycle,1.0,25
moped,14.0,25
bicycle,6.0,26
moped,39.0,26
bicycle,17.0,27
cargo_bicycle,12.0,27
moped,25.0,27
bicycle,8.0,28
cargo_bicycle,3.0,28
moped,2.0,28
bicycle,16.0,29
cargo_bicycle,4.0,29
moped,4.0,29
cargo_bicycle,4.0,30
moped,1.0,30
bicycle,1.0,31
cargo_bicycle,3.0,31
moped,5.0,31
bicycle,2.0,32
cargo_bicycle,2.0,32
moped,4.0,32
bicycle,5.0,33
cargo_bicycle,2.0,33
moped,13.0,33
bicycle,19.0,34
cargo_bicycle,5.0,34
moped,22.0,34
bicycle,8.0,36
cargo_bicycle,1.0,36
moped,23.0,36
bicycle,14.0,37
cargo_bicycle,6.0,37
moped,5.0,37
bicycle,8.0,38
cargo_bicycle,6.0,38
moped,18.0,38
bicycle,2.0,39
cargo_bicycle,2.0,39
bicycle,1.0,40
cargo_bicycle,2.0,40
moped,7.0,40
bicycle,10.0,41
moped,14.0,41
bicycle,7.0,42
moped,4.0,42
bicycle,4.0,43
moped,20.0,43
moped,18.0,44
moped,8.0,45
bicycle,10.0,46
moped,6.0,46
cargo_bicycle,1.0,47
moped,10.0,47
cargo_bicycle,2.0,48
moped,7.0,48
bicycle,5.0,50
cargo_bicycle,1.0,50
moped,3.0,50
moped,1.0,54
bicycle,5.0,55
moped,20.0,55
moped,9.0,56
moped,2.0,58
moped,3.0,59
moped,1.0,60
bicycle,10.0,65
moped,4.0,65
moped,6.0,66
bicycle,11.0,67
moped,14.0,67
moped,5.0,69
bicycle,1.0,70
moped,10.0,70
moped,5.0,71
moped,4.0,72
bicycle,6.0,74
cargo_bicycle,3.0,74
moped,11.0,74
moped,4.0,75
moped,2.0,76
bicycle,3.0,85
moped,8.0,85
bicycle,3.0,86
cargo_bicycle,1.0,86
moped,5.0,86
moped,5.0,87
bicycle,4.0,88
moped,5.0,88
bicycle,1.0,94
moped,1.0,94
bicycle,6.0,95
cargo_bicycle,2.0,95
moped,17.0,96
moped,6.0,97
scooter,1.0,97
bicycle,2.0,98
moped,9.0,98
bicycle,2.0,99
moped,14.0,99
bicycle,1.0,100
moped,6.0,100
bicycle,6.0,101
moped,20.0,101
moped,26.0,102
moped,26.0,103
bicycle,3.0,104
moped,15.0,104
moped,11.0,105
cargo_bicycle,1.0,106
moped,5.0,106
moped,10.0,107
bicycle,2.0,108
cargo_bicycle,1.0,108
moped,1.0,108
moped,11.0,109
