0,1,Polygon
moped,1.0,0
moped,5.0,1
bicycle,1.0,2
moped,8.0,3
moped,20.0,4
cargo_bicycle,1.0,5
moped,9.0,5
bicycle,3.0,6
cargo_bicycle,2.0,6
moped,2.0,6
bicycle,16.0,8
moped,20.0,8
bicycle,9.0,9
moped,5.0,9
bicycle,12.0,10
moped,13.0,10
cargo_bicycle,2.0,11
moped,4.0,11
cargo_bicycle,1.0,12
moped,7.0,12
moped,2.0,13
bicycle,6.0,14
moped,3.0,14
bicycle,37.0,15
cargo_bicycle,1.0,15
moped,60.0,15
bicycle,14.0,16
cargo_bicycle,1.0,16
moped,29.0,16
bicycle,9.0,17
moped,6.0,17
moped,2.0,18
moped,3.0,19
moped,1.0,20
moped,5.0,21
bicycle,7.0,22
moped,3.0,22
moped,17.0,23
moped,18.0,24
bicycle,1.0,25
moped,14.0,25
bicycle,11.0,26
moped,26.0,26
bicycle,26.0,27
cargo_bicycle,10.0,27
moped,14.0,27
bicycle,5.0,28
cargo_bicycle,2.0,28
moped,11.0,28
bicycle,25.0,29
cargo_bicycle,2.0,29
moped,5.0,29
bicycle,3.0,30
cargo_bicycle,1.0,30
moped,2.0,30
bicycle,7.0,31
cargo_bicycle,1.0,31
moped,3.0,31
bicycle,3.0,32
cargo_bicycle,1.0,32
moped,3.0,32
bicycle,5.0,33
cargo_bicycle,3.0,33
moped,1.0,33
bicycle,9.0,34
cargo_bicycle,6.0,34
moped,15.0,34
bicycle,8.0,36
cargo_bicycle,1.0,36
moped,35.0,36
bicycle,10.0,37
cargo_bicycle,3.0,37
moped,12.0,37
bicycle,15.0,38
cargo_bicycle,8.0,38
moped,20.0,38
bicycle,4.0,39
cargo_bicycle,1.0,39
bicycle,3.0,40
cargo_bicycle,4.0,40
moped,16.0,40
bicycle,56.0,41
moped,16.0,41
bicycle,20.0,42
moped,6.0,42
bicycle,8.0,43
moped,30.0,43
moped,31.0,44
moped,18.0,45
bicycle,18.0,46
moped,10.0,46
cargo_bicycle,3.0,47
moped,28.0,47
cargo_bicycle,1.0,48
moped,12.0,48
bicycle,5.0,50
cargo_bicycle,1.0,50
moped,7.0,50
bicycle,8.0,55
moped,24.0,55
moped,16.0,56
moped,5.0,58
moped,13.0,59
moped,1.0,62
bicycle,12.0,65
moped,2.0,65
bicycle,1.0,66
moped,6.0,66
bicycle,15.0,67
moped,11.0,67
bicycle,3.0,69
moped,3.0,69
bicycle,2.0,70
moped,1.0,70
moped,3.0,71
moped,12.0,72
bicycle,10.0,74
cargo_bicycle,1.0,74
moped,4.0,74
moped,4.0,75
bicycle,2.0,85
moped,11.0,85
bicycle,3.0,86
cargo_bicycle,1.0,86
moped,2.0,86
moped,2.0,87
bicycle,7.0,88
moped,11.0,88
bicycle,2.0,94
moped,22.0,94
bicycle,6.0,95
cargo_bicycle,1.0,95
moped,8.0,95
moped,17.0,96
moped,2.0,97
scooter,1.0,97
bicycle,3.0,98
bicycle,5.0,99
moped,2.0,99
bicycle,1.0,100
bicycle,5.0,101
moped,13.0,101
bicycle,1.0,102
moped,4.0,102
moped,34.0,103
bicycle,7.0,104
moped,2.0,105
bicycle,9.0,106
cargo_bicycle,1.0,106
bicycle,3.0,107
moped,5.0,107
bicycle,1.0,108
moped,2.0,109
