0,1,Polygon
moped,1.0,0
moped,1.0,1
moped,2.0,2
moped,1.0,3
moped,19.0,4
cargo_bicycle,4.0,5
moped,5.0,5
bicycle,5.0,6
cargo_bicycle,2.0,6
moped,2.0,6
bicycle,8.0,8
moped,9.0,8
bicycle,10.0,9
moped,2.0,9
bicycle,4.0,10
cargo_bicycle,8.0,10
moped,4.0,10
cargo_bicycle,7.0,11
moped,1.0,11
cargo_bicycle,2.0,12
moped,6.0,12
moped,6.0,13
bicycle,5.0,14
moped,17.0,14
bicycle,29.0,15
cargo_bicycle,1.0,15
moped,81.0,15
bicycle,15.0,16
cargo_bicycle,1.0,16
moped,23.0,16
bicycle,17.0,17
moped,5.0,17
moped,2.0,18
moped,1.0,19
moped,2.0,20
moped,13.0,21
bicycle,9.0,22
moped,6.0,22
moped,14.0,23
cargo_bicycle,1.0,24
moped,16.0,24
bicycle,7.0,25
moped,4.0,25
bicycle,11.0,26
moped,46.0,26
bicycle,42.0,27
cargo_bicycle,5.0,27
moped,38.0,27
bicycle,10.0,28
cargo_bicycle,3.0,28
moped,8.0,28
bicycle,28.0,29
cargo_bicycle,2.0,29
moped,10.0,29
cargo_bicycle,1.0,30
moped,1.0,30
bicycle,3.0,31
moped,1.0,31
bicycle,3.0,32
cargo_bicycle,1.0,32
bicycle,5.0,33
moped,6.0,33
bicycle,11.0,34
cargo_bicycle,2.0,34
moped,15.0,34
bicycle,6.0,36
moped,26.0,36
bicycle,22.0,37
cargo_bicycle,5.0,37
moped,5.0,37
bicycle,9.0,38
cargo_bicycle,3.0,38
moped,8.0,38
bicycle,3.0,39
cargo_bicycle,1.0,39
moped,1.0,39
bicycle,3.0,40
cargo_bicycle,1.0,40
moped,9.0,40
bicycle,29.0,41
moped,37.0,41
bicycle,8.0,42
moped,3.0,42
bicycle,7.0,43
moped,18.0,43
moped,23.0,44
moped,20.0,45
bicycle,14.0,46
moped,2.0,46
cargo_bicycle,3.0,47
moped,17.0,47
cargo_bicycle,1.0,48
moped,19.0,48
bicycle,5.0,50
cargo_bicycle,1.0,50
moped,3.0,50
bicycle,2.0,55
moped,19.0,55
moped,4.0,56
cargo_bicycle,1.0,58
moped,7.0,58
moped,4.0,59
moped,1.0,62
bicycle,12.0,65
moped,18.0,65
bicycle,1.0,66
cargo_bicycle,1.0,66
bicycle,16.0,67
moped,8.0,67
bicycle,12.0,69
moped,4.0,69
moped,1.0,70
moped,10.0,71
moped,8.0,72
bicycle,6.0,74
cargo_bicycle,2.0,74
moped,3.0,74
moped,6.0,75
moped,1.0,76
bicycle,1.0,85
moped,11.0,85
bicycle,4.0,86
moped,9.0,86
moped,8.0,87
bicycle,6.0,88
moped,3.0,88
bicycle,4.0,94
moped,22.0,94
bicycle,3.0,95
cargo_bicycle,2.0,95
moped,9.0,95
moped,15.0,96
scooter,1.0,97
bicycle,4.0,98
moped,1.0,98
bicycle,21.0,99
moped,6.0,99
bicycle,2.0,100
moped,3.0,100
bicycle,6.0,101
moped,14.0,101
moped,2.0,102
moped,31.0,103
bicycle,5.0,104
moped,1.0,104
moped,2.0,105
bicycle,1.0,106
cargo_bicycle,1.0,106
moped,2.0,106
bicycle,1.0,107
moped,4.0,107
bicycle,3.0,108
moped,2.0,108
