0,1,Polygon
moped,3.0,0
moped,2.0,1
bicycle,6.0,2
moped,2.0,2
moped,2.0,3
moped,19.0,4
cargo_bicycle,1.0,5
moped,3.0,5
bicycle,5.0,6
cargo_bicycle,2.0,6
moped,1.0,6
bicycle,10.0,8
moped,16.0,8
bicycle,8.0,9
moped,11.0,9
bicycle,10.0,10
cargo_bicycle,9.0,10
moped,3.0,10
cargo_bicycle,6.0,11
moped,2.0,11
cargo_bicycle,7.0,12
moped,1.0,12
moped,2.0,13
bicycle,4.0,14
cargo_bicycle,1.0,14
moped,9.0,14
bicycle,44.0,15
cargo_bicycle,1.0,15
moped,101.0,15
bicycle,19.0,16
cargo_bicycle,1.0,16
moped,26.0,16
bicycle,15.0,17
moped,3.0,17
moped,3.0,18
moped,3.0,19
cargo_bicycle,1.0,20
moped,9.0,20
cargo_bicycle,1.0,21
moped,16.0,21
bicycle,14.0,22
moped,3.0,22
moped,15.0,23
moped,17.0,24
bicycle,4.0,25
moped,3.0,25
bicycle,10.0,26
moped,29.0,26
bicycle,34.0,27
cargo_bicycle,9.0,27
moped,16.0,27
bicycle,10.0,28
cargo_bicycle,3.0,28
moped,11.0,28
bicycle,31.0,29
moped,12.0,29
bicycle,3.0,30
cargo_bicycle,1.0,30
moped,1.0,30
bicycle,3.0,31
cargo_bicycle,2.0,31
moped,1.0,31
bicycle,3.0,32
cargo_bicycle,1.0,32
moped,3.0,32
bicycle,2.0,33
cargo_bicycle,3.0,33
moped,7.0,33
bicycle,17.0,34
cargo_bicycle,7.0,34
moped,11.0,34
bicycle,12.0,36
cargo_bicycle,2.0,36
moped,38.0,36
bicycle,19.0,37
cargo_bicycle,8.0,37
moped,6.0,37
bicycle,20.0,38
cargo_bicycle,7.0,38
moped,9.0,38
bicycle,6.0,39
moped,1.0,39
bicycle,4.0,40
cargo_bicycle,3.0,40
moped,12.0,40
bicycle,45.0,41
moped,22.0,41
bicycle,12.0,42
moped,4.0,42
bicycle,10.0,43
moped,26.0,43
moped,24.0,44
moped,18.0,45
bicycle,13.0,46
moped,3.0,46
cargo_bicycle,3.0,47
moped,23.0,47
cargo_bicycle,2.0,48
moped,8.0,48
bicycle,6.0,50
cargo_bicycle,1.0,50
moped,6.0,50
bicycle,10.0,55
moped,13.0,55
moped,13.0,56
cargo_bicycle,1.0,58
moped,3.0,58
moped,11.0,59
moped,3.0,62
bicycle,18.0,65
moped,20.0,65
bicycle,21.0,67
moped,7.0,67
bicycle,4.0,69
bicycle,2.0,70
moped,4.0,70
moped,9.0,71
moped,9.0,72
bicycle,4.0,74
cargo_bicycle,3.0,74
moped,1.0,74
moped,10.0,75
moped,2.0,76
bicycle,1.0,85
moped,3.0,85
bicycle,5.0,86
cargo_bicycle,1.0,86
moped,7.0,86
moped,2.0,87
bicycle,14.0,88
moped,4.0,88
bicycle,1.0,94
moped,17.0,94
cargo_bicycle,2.0,95
moped,17.0,95
moped,20.0,96
moped,3.0,97
scooter,1.0,97
bicycle,5.0,98
moped,2.0,98
bicycle,2.0,99
moped,11.0,99
bicycle,1.0,100
moped,2.0,100
bicycle,1.0,101
moped,16.0,101
bicycle,1.0,102
moped,2.0,102
moped,42.0,103
bicycle,2.0,104
moped,2.0,104
bicycle,6.0,106
cargo_bicycle,1.0,106
moped,2.0,107
bicycle,6.0,108
moped,1.0,108
