0,1,Polygon
moped,6.0,0
moped,8.0,1
bicycle,1.0,2
moped,6.0,2
moped,11.0,3
moped,16.0,4
cargo_bicycle,3.0,5
moped,9.0,5
cargo_bicycle,1.0,6
moped,4.0,6
moped,1.0,7
bicycle,9.0,8
moped,88.0,8
bicycle,4.0,9
moped,4.0,9
bicycle,3.0,10
cargo_bicycle,3.0,10
moped,5.0,10
cargo_bicycle,5.0,11
moped,4.0,11
cargo_bicycle,5.0,12
moped,1.0,12
moped,5.0,13
bicycle,5.0,14
bicycle,14.0,15
cargo_bicycle,1.0,15
moped,14.0,15
bicycle,15.0,16
cargo_bicycle,1.0,16
moped,18.0,16
bicycle,11.0,17
moped,13.0,17
moped,4.0,18
moped,1.0,19
cargo_bicycle,2.0,21
moped,11.0,21
bicycle,5.0,22
moped,3.0,22
moped,12.0,23
cargo_bicycle,1.0,24
moped,3.0,24
bicycle,1.0,25
moped,9.0,25
bicycle,9.0,26
moped,12.0,26
bicycle,21.0,27
cargo_bicycle,12.0,27
moped,31.0,27
bicycle,5.0,28
cargo_bicycle,3.0,28
moped,7.0,28
bicycle,16.0,29
cargo_bicycle,2.0,29
moped,8.0,29
cargo_bicycle,2.0,30
moped,11.0,30
bicycle,7.0,31
cargo_bicycle,2.0,31
moped,5.0,31
bicycle,4.0,32
cargo_bicycle,1.0,32
moped,1.0,32
bicycle,4.0,33
cargo_bicycle,3.0,33
moped,13.0,33
bicycle,10.0,34
cargo_bicycle,7.0,34
moped,23.0,34
bicycle,8.0,36
cargo_bicycle,1.0,36
moped,36.0,36
bicycle,9.0,37
cargo_bicycle,6.0,37
moped,7.0,37
bicycle,9.0,38
cargo_bicycle,6.0,38
moped,18.0,38
bicycle,2.0,39
cargo_bicycle,2.0,39
moped,1.0,39
bicycle,2.0,40
cargo_bicycle,2.0,40
moped,11.0,40
bicycle,30.0,41
moped,5.0,41
bicycle,10.0,42
moped,1.0,42
bicycle,4.0,43
moped,18.0,43
moped,8.0,44
moped,4.0,45
bicycle,12.0,46
moped,2.0,46
cargo_bicycle,3.0,47
moped,10.0,47
cargo_bicycle,2.0,48
moped,20.0,48
bicycle,5.0,50
cargo_bicycle,1.0,50
moped,2.0,50
bicycle,7.0,55
moped,24.0,55
moped,23.0,56
cargo_bicycle,1.0,58
moped,7.0,58
moped,12.0,59
moped,2.0,62
bicycle,19.0,65
moped,4.0,65
moped,4.0,66
bicycle,15.0,67
moped,13.0,67
moped,1.0,68
bicycle,7.0,69
moped,1.0,69
moped,2.0,70
moped,3.0,71
moped,13.0,72
moped,4.0,73
bicycle,3.0,74
cargo_bicycle,2.0,74
moped,3.0,74
moped,8.0,75
moped,2.0,76
moped,1.0,81
bicycle,2.0,85
moped,13.0,85
bicycle,2.0,86
cargo_bicycle,2.0,86
moped,5.0,86
moped,7.0,87
bicycle,8.0,88
moped,2.0,88
bicycle,4.0,94
moped,7.0,94
bicycle,1.0,95
cargo_bicycle,2.0,95
moped,6.0,95
moped,21.0,96
moped,2.0,97
scooter,1.0,97
bicycle,4.0,98
moped,7.0,98
bicycle,11.0,99
moped,29.0,99
bicycle,3.0,100
moped,8.0,100
bicycle,1.0,101
moped,17.0,101
moped,10.0,102
moped,20.0,103
bicycle,6.0,104
moped,9.0,104
moped,5.0,105
bicycle,8.0,106
cargo_bicycle,1.0,106
moped,3.0,106
bicycle,4.0,107
moped,12.0,107
bicycle,4.0,108
cargo_bicycle,1.0,108
moped,3.0,108
moped,9.0,109
