0,1,Polygon
moped,8.0,0
moped,4.0,1
bicycle,4.0,2
moped,3.0,2
moped,2.0,3
moped,12.0,4
cargo_bicycle,4.0,5
moped,25.0,5
bicycle,3.0,6
cargo_bicycle,5.0,6
moped,13.0,6
bicycle,7.0,8
moped,28.0,8
bicycle,10.0,9
moped,4.0,9
bicycle,11.0,10
cargo_bicycle,14.0,10
moped,16.0,10
cargo_bicycle,7.0,11
moped,2.0,11
cargo_bicycle,4.0,12
moped,8.0,12
moped,16.0,13
bicycle,5.0,14
cargo_bicycle,1.0,14
moped,4.0,14
bicycle,23.0,15
cargo_bicycle,1.0,15
moped,14.0,15
bicycle,15.0,16
cargo_bicycle,1.0,16
moped,19.0,16
bicycle,10.0,17
moped,6.0,17
moped,11.0,18
moped,14.0,19
cargo_bicycle,1.0,20
moped,7.0,20
moped,16.0,21
bicycle,13.0,22
moped,10.0,22
moped,39.0,23
cargo_bicycle,1.0,24
moped,9.0,24
bicycle,8.0,25
moped,6.0,25
bicycle,11.0,26
moped,15.0,26
bicycle,37.0,27
cargo_bicycle,10.0,27
moped,27.0,27
bicycle,10.0,28
cargo_bicycle,3.0,28
moped,8.0,28
bicycle,24.0,29
cargo_bicycle,2.0,29
moped,6.0,29
cargo_bicycle,4.0,30
moped,4.0,30
bicycle,4.0,31
cargo_bicycle,1.0,31
moped,14.0,31
bicycle,2.0,32
cargo_bicycle,2.0,32
moped,2.0,32
bicycle,6.0,33
cargo_bicycle,2.0,33
moped,4.0,33
bicycle,13.0,34
cargo_bicycle,7.0,34
moped,22.0,34
bicycle,6.0,36
cargo_bicycle,1.0,36
moped,24.0,36
bicycle,25.0,37
cargo_bicycle,5.0,37
moped,18.0,37
bicycle,10.0,38
cargo_bicycle,6.0,38
moped,14.0,38
bicycle,3.0,39
cargo_bicycle,2.0,39
bicycle,5.0,40
cargo_bicycle,2.0,40
moped,17.0,40
bicycle,45.0,41
moped,12.0,41
bicycle,19.0,42
moped,5.0,42
bicycle,10.0,43
moped,16.0,43
moped,17.0,44
moped,20.0,45
bicycle,21.0,46
moped,8.0,46
cargo_bicycle,3.0,47
moped,11.0,47
cargo_bicycle,2.0,48
moped,5.0,48
bicycle,5.0,50
cargo_bicycle,1.0,50
moped,4.0,50
bicycle,6.0,55
moped,14.0,55
moped,9.0,56
cargo_bicycle,1.0,58
moped,4.0,58
moped,6.0,59
moped,1.0,62
bicycle,10.0,65
moped,18.0,65
bicycle,1.0,66
moped,3.0,66
bicycle,16.0,67
moped,3.0,67
bicycle,11.0,69
moped,6.0,69
moped,6.0,70
moped,2.0,71
moped,10.0,72
bicycle,6.0,74
cargo_bicycle,4.0,74
moped,15.0,74
moped,7.0,75
moped,4.0,76
bicycle,1.0,85
moped,5.0,85
bicycle,5.0,86
moped,7.0,86
moped,4.0,87
bicycle,12.0,88
moped,4.0,88
bicycle,5.0,94
moped,9.0,94
bicycle,6.0,95
cargo_bicycle,2.0,95
moped,16.0,96
moped,4.0,97
scooter,1.0,97
bicycle,7.0,98
moped,3.0,98
bicycle,16.0,99
moped,17.0,99
bicycle,2.0,100
moped,5.0,100
bicycle,4.0,101
moped,12.0,101
moped,10.0,102
moped,20.0,103
bicycle,5.0,104
moped,9.0,104
moped,3.0,105
bicycle,1.0,106
cargo_bicycle,1.0,106
moped,6.0,106
bicycle,4.0,107
moped,4.0,107
bicycle,5.0,108
cargo_bicycle,1.0,108
moped,6.0,108
moped,9.0,109
