Polygon,0,1
3,moped,2.0
4,cargo_bicycle,1.0
4,moped,12.0
5,cargo_bicycle,1.0
5,moped,14.0
6,bicycle,7.0
6,cargo_bicycle,3.0
6,moped,2.0
7,moped,2.0
8,bicycle,6.0
8,moped,32.0
9,bicycle,9.0
9,moped,9.0
10,bicycle,6.0
10,cargo_bicycle,8.0
10,moped,9.0
11,cargo_bicycle,7.0
11,moped,6.0
12,cargo_bicycle,4.0
12,moped,13.0
13,moped,4.0
14,bicycle,5.0
14,moped,15.0
15,bicycle,27.0
15,cargo_bicycle,1.0
15,moped,38.0
16,bicycle,17.0
16,moped,23.0
17,bicycle,9.0
17,moped,13.0
18,moped,1.0
19,moped,3.0
20,moped,1.0
21,cargo_bicycle,1.0
21,moped,9.0
22,bicycle,6.0
22,moped,14.0
23,moped,11.0
24,moped,10.0
25,moped,24.0
26,bicycle,13.0
26,moped,43.0
27,bicycle,29.0
27,cargo_bicycle,7.0
27,moped,26.0
28,bicycle,6.0
28,moped,3.0
29,bicycle,14.0
29,cargo_bicycle,4.0
29,moped,4.0
30,cargo_bicycle,2.0
30,moped,1.0
31,bicycle,1.0
31,moped,2.0
32,bicycle,3.0
32,cargo_bicycle,1.0
33,bicycle,8.0
33,cargo_bicycle,1.0
33,moped,8.0
34,bicycle,18.0
34,cargo_bicycle,3.0
34,moped,31.0
36,bicycle,8.0
36,moped,25.0
37,bicycle,11.0
37,cargo_bicycle,4.0
37,moped,14.0
38,bicycle,8.0
38,cargo_bicycle,3.0
38,moped,25.0
39,bicycle,3.0
39,cargo_bicycle,2.0
39,moped,2.0
40,bicycle,2.0
40,cargo_bicycle,1.0
40,moped,11.0
41,bicycle,13.0
41,moped,34.0
42,bicycle,3.0
42,moped,4.0
43,bicycle,7.0
43,moped,11.0
44,moped,15.0
45,moped,14.0
46,bicycle,13.0
46,moped,4.0
47,cargo_bicycle,1.0
47,moped,6.0
48,cargo_bicycle,2.0
48,moped,6.0
50,bicycle,5.0
50,cargo_bicycle,1.0
50,moped,1.0
54,moped,1.0
55,bicycle,9.0
55,moped,22.0
56,moped,10.0
58,cargo_bicycle,1.0
58,moped,6.0
59,moped,4.0
60,moped,1.0
65,bicycle,6.0
65,moped,19.0
66,moped,1.0
67,bicycle,19.0
67,moped,6.0
68,moped,1.0
69,moped,8.0
70,bicycle,3.0
70,moped,3.0
71,moped,4.0
72,moped,2.0
73,moped,1.0
74,bicycle,5.0
74,cargo_bicycle,4.0
74,moped,5.0
75,moped,6.0
76,moped,1.0
85,bicycle,2.0
85,moped,17.0
86,bicycle,8.0
86,cargo_bicycle,2.0
86,moped,6.0
87,moped,6.0
88,bicycle,5.0
88,moped,6.0
94,bicycle,2.0
94,moped,4.0
95,bicycle,3.0
95,cargo_bicycle,2.0
95,moped,2.0
96,moped,8.0
97,scooter,1.0
98,bicycle,1.0
98,moped,1.0
99,bicycle,7.0
99,moped,22.0
100,bicycle,1.0
100,moped,6.0
101,bicycle,5.0
101,moped,14.0
102,moped,8.0
103,moped,31.0
104,moped,1.0
105,moped,2.0
106,bicycle,2.0
106,cargo_bicycle,1.0
106,moped,1.0
107,moped,2.0
108,bicycle,4.0
108,cargo_bicycle,1.0
108,moped,1.0
