0,1,Polygon
moped,1.0,0
moped,2.0,1
bicycle,1.0,2
moped,1.0,2
moped,7.0,3
moped,10.0,4
cargo_bicycle,3.0,5
moped,12.0,5
bicycle,3.0,6
cargo_bicycle,2.0,6
moped,11.0,6
bicycle,4.0,8
moped,13.0,8
bicycle,12.0,9
moped,8.0,9
bicycle,10.0,10
cargo_bicycle,8.0,10
moped,7.0,10
cargo_bicycle,6.0,11
moped,4.0,11
cargo_bicycle,2.0,12
moped,5.0,12
moped,3.0,13
bicycle,5.0,14
cargo_bicycle,1.0,14
moped,12.0,14
bicycle,24.0,15
cargo_bicycle,1.0,15
moped,71.0,15
bicycle,16.0,16
cargo_bicycle,1.0,16
moped,22.0,16
bicycle,9.0,17
moped,12.0,17
moped,2.0,18
moped,3.0,19
cargo_bicycle,1.0,20
moped,5.0,20
moped,6.0,21
bicycle,5.0,22
moped,3.0,22
moped,18.0,23
moped,10.0,24
bicycle,8.0,25
moped,4.0,25
bicycle,7.0,26
moped,55.0,26
bicycle,31.0,27
cargo_bicycle,10.0,27
moped,14.0,27
bicycle,5.0,28
cargo_bicycle,2.0,28
moped,4.0,28
bicycle,19.0,29
cargo_bicycle,4.0,29
moped,10.0,29
bicycle,1.0,30
moped,4.0,30
bicycle,4.0,31
cargo_bicycle,2.0,31
moped,1.0,31
bicycle,8.0,32
cargo_bicycle,2.0,32
moped,1.0,32
bicycle,6.0,33
cargo_bicycle,2.0,33
moped,1.0,33
bicycle,18.0,34
cargo_bicycle,3.0,34
moped,31.0,34
bicycle,5.0,36
moped,18.0,36
bicycle,14.0,37
cargo_bicycle,6.0,37
moped,3.0,37
bicycle,10.0,38
cargo_bicycle,4.0,38
moped,18.0,38
bicycle,4.0,39
cargo_bicycle,2.0,39
bicycle,4.0,40
cargo_bicycle,1.0,40
moped,8.0,40
bicycle,2.0,41
moped,21.0,41
bicycle,12.0,42
moped,3.0,42
bicycle,8.0,43
moped,26.0,43
moped,11.0,44
moped,16.0,45
bicycle,11.0,46
moped,5.0,46
cargo_bicycle,3.0,47
moped,8.0,47
cargo_bicycle,2.0,48
moped,10.0,48
bicycle,5.0,50
cargo_bicycle,1.0,50
moped,1.0,54
bicycle,4.0,55
moped,16.0,55
moped,8.0,56
moped,6.0,58
moped,4.0,59
bicycle,5.0,65
moped,10.0,65
bicycle,1.0,66
moped,4.0,66
bicycle,18.0,67
moped,7.0,67
moped,1.0,68
bicycle,5.0,69
moped,7.0,69
bicycle,3.0,70
moped,3.0,70
moped,4.0,71
moped,4.0,72
bicycle,7.0,74
cargo_bicycle,3.0,74
moped,4.0,74
moped,4.0,75
moped,7.0,85
bicycle,6.0,86
cargo_bicycle,3.0,86
moped,7.0,86
moped,1.0,87
bicycle,5.0,88
moped,6.0,88
bicycle,2.0,94
moped,12.0,94
bicycle,2.0,95
cargo_bicycle,2.0,95
moped,7.0,95
moped,16.0,96
moped,2.0,97
scooter,1.0,97
bicycle,8.0,99
moped,8.0,99
bicycle,1.0,100
moped,5.0,100
bicycle,5.0,101
moped,26.0,101
moped,5.0,102
moped,40.0,103
bicycle,1.0,104
moped,5.0,104
moped,2.0,105
bicycle,1.0,106
cargo_bicycle,1.0,106
moped,5.0,106
bicycle,2.0,107
moped,3.0,107
bicycle,2.0,108
cargo_bicycle,1.0,108
moped,1.0,109
