0,1,Polygon
moped,1.0,0
moped,2.0,1
bicycle,1.0,2
moped,2.0,2
moped,1.0,3
moped,6.0,4
cargo_bicycle,3.0,5
moped,5.0,5
bicycle,4.0,6
cargo_bicycle,2.0,6
moped,7.0,6
bicycle,13.0,8
moped,7.0,8
bicycle,4.0,9
moped,4.0,9
bicycle,8.0,10
cargo_bicycle,12.0,10
moped,4.0,10
cargo_bicycle,7.0,11
moped,2.0,11
cargo_bicycle,4.0,12
moped,4.0,12
moped,2.0,13
bicycle,7.0,14
moped,9.0,14
bicycle,27.0,15
cargo_bicycle,2.0,15
moped,48.0,15
bicycle,13.0,16
moped,22.0,16
bicycle,11.0,17
moped,3.0,17
moped,1.0,18
cargo_bicycle,1.0,19
moped,1.0,19
moped,2.0,20
cargo_bicycle,1.0,21
moped,11.0,21
bicycle,8.0,22
moped,12.0,22
moped,8.0,23
cargo_bicycle,1.0,24
moped,6.0,24
bicycle,4.0,25
moped,15.0,25
bicycle,5.0,26
moped,40.0,26
bicycle,27.0,27
cargo_bicycle,9.0,27
moped,35.0,27
bicycle,9.0,28
cargo_bicycle,3.0,28
moped,6.0,28
bicycle,28.0,29
cargo_bicycle,3.0,29
moped,5.0,29
bicycle,2.0,30
cargo_bicycle,2.0,30
moped,5.0,30
bicycle,4.0,31
cargo_bicycle,1.0,31
moped,3.0,31
bicycle,5.0,32
cargo_bicycle,2.0,32
moped,2.0,32
bicycle,7.0,33
cargo_bicycle,1.0,33
moped,15.0,33
bicycle,12.0,34
cargo_bicycle,5.0,34
moped,26.0,34
bicycle,9.0,36
moped,22.0,36
bicycle,24.0,37
cargo_bicycle,6.0,37
moped,14.0,37
bicycle,10.0,38
cargo_bicycle,4.0,38
moped,20.0,38
bicycle,4.0,39
cargo_bicycle,2.0,39
bicycle,1.0,40
cargo_bicycle,1.0,40
moped,8.0,40
bicycle,46.0,41
moped,12.0,41
bicycle,10.0,42
moped,3.0,42
bicycle,11.0,43
moped,11.0,43
moped,5.0,44
moped,8.0,45
bicycle,23.0,46
moped,5.0,46
cargo_bicycle,3.0,47
moped,20.0,47
cargo_bicycle,2.0,48
moped,11.0,48
bicycle,5.0,50
moped,1.0,50
moped,2.0,54
bicycle,9.0,55
moped,25.0,55
moped,6.0,56
cargo_bicycle,1.0,58
moped,6.0,58
moped,14.0,59
bicycle,16.0,65
moped,8.0,65
bicycle,1.0,66
cargo_bicycle,1.0,66
bicycle,13.0,67
moped,14.0,67
moped,1.0,68
bicycle,7.0,69
moped,10.0,69
moped,4.0,70
moped,8.0,71
moped,9.0,72
moped,2.0,73
bicycle,4.0,74
cargo_bicycle,2.0,74
moped,3.0,74
moped,7.0,75
moped,2.0,76
bicycle,2.0,85
moped,13.0,85
bicycle,4.0,86
moped,8.0,86
moped,3.0,87
bicycle,8.0,88
moped,8.0,88
bicycle,1.0,94
moped,11.0,94
bicycle,2.0,95
cargo_bicycle,2.0,95
moped,11.0,95
moped,8.0,96
moped,10.0,97
scooter,1.0,97
bicycle,1.0,98
moped,4.0,98
bicycle,8.0,99
moped,7.0,99
bicycle,1.0,100
moped,3.0,100
bicycle,6.0,101
moped,12.0,101
bicycle,1.0,102
moped,2.0,102
moped,29.0,103
bicycle,3.0,104
moped,3.0,104
moped,1.0,105
bicycle,2.0,106
cargo_bicycle,1.0,106
moped,6.0,106
moped,6.0,107
bicycle,3.0,108
cargo_bicycle,1.0,108
moped,2.0,108
