0,1,Polygon
moped,4.0,0
moped,2.0,1
bicycle,1.0,2
moped,1.0,2
moped,8.0,3
moped,33.0,4
cargo_bicycle,2.0,5
moped,15.0,5
bicycle,5.0,6
moped,11.0,6
moped,1.0,7
bicycle,1.0,8
moped,25.0,8
bicycle,11.0,9
moped,9.0,9
bicycle,7.0,10
cargo_bicycle,4.0,10
moped,11.0,10
cargo_bicycle,1.0,11
cargo_bicycle,4.0,12
moped,4.0,12
moped,1.0,13
bicycle,5.0,14
moped,4.0,14
bicycle,18.0,15
cargo_bicycle,1.0,15
moped,36.0,15
bicycle,14.0,16
cargo_bicycle,1.0,16
moped,16.0,16
bicycle,11.0,17
moped,6.0,17
moped,3.0,18
moped,3.0,19
moped,3.0,20
cargo_bicycle,2.0,21
moped,6.0,21
bicycle,4.0,22
moped,4.0,22
moped,18.0,23
moped,12.0,24
moped,5.0,25
bicycle,7.0,26
moped,15.0,26
bicycle,22.0,27
cargo_bicycle,8.0,27
moped,17.0,27
bicycle,3.0,28
cargo_bicycle,1.0,28
moped,2.0,28
bicycle,9.0,29
cargo_bicycle,1.0,29
moped,3.0,29
cargo_bicycle,3.0,31
moped,3.0,31
bicycle,3.0,32
bicycle,5.0,33
cargo_bicycle,2.0,33
moped,2.0,33
bicycle,12.0,34
cargo_bicycle,4.0,34
moped,30.0,34
bicycle,7.0,36
moped,34.0,36
bicycle,12.0,37
cargo_bicycle,3.0,37
moped,14.0,37
bicycle,9.0,38
cargo_bicycle,4.0,38
moped,39.0,38
bicycle,3.0,39
cargo_bicycle,2.0,39
bicycle,1.0,40
cargo_bicycle,1.0,40
moped,6.0,40
bicycle,33.0,41
moped,17.0,41
bicycle,17.0,42
moped,4.0,42
bicycle,4.0,43
moped,7.0,43
moped,20.0,44
moped,10.0,45
bicycle,6.0,46
moped,4.0,46
cargo_bicycle,1.0,47
moped,8.0,47
cargo_bicycle,1.0,48
moped,8.0,48
bicycle,5.0,50
moped,2.0,50
bicycle,8.0,55
moped,20.0,55
moped,16.0,56
moped,1.0,57
moped,4.0,58
moped,9.0,59
moped,1.0,62
bicycle,3.0,65
moped,21.0,65
bicycle,2.0,66
moped,1.0,66
bicycle,15.0,67
moped,8.0,67
bicycle,8.0,69
moped,9.0,69
moped,5.0,70
moped,2.0,71
moped,8.0,72
moped,1.0,73
bicycle,2.0,74
cargo_bicycle,1.0,74
moped,4.0,74
moped,3.0,76
moped,1.0,81
bicycle,2.0,85
moped,13.0,85
bicycle,2.0,86
cargo_bicycle,2.0,86
moped,8.0,86
moped,7.0,87
bicycle,9.0,88
moped,4.0,88
bicycle,6.0,94
moped,7.0,94
cargo_bicycle,2.0,95
moped,5.0,95
moped,8.0,96
moped,1.0,97
scooter,1.0,97
bicycle,3.0,98
moped,5.0,98
bicycle,10.0,99
moped,9.0,99
bicycle,3.0,100
moped,1.0,100
bicycle,3.0,101
moped,16.0,101
moped,9.0,102
moped,26.0,103
bicycle,4.0,104
moped,2.0,104
moped,2.0,105
bicycle,1.0,106
cargo_bicycle,1.0,106
moped,1.0,106
bicycle,4.0,107
moped,1.0,107
bicycle,8.0,108
cargo_bicycle,1.0,108
moped,2.0,108
moped,4.0,109
