0,1,Polygon
moped,3.0,0
moped,4.0,1
moped,5.0,2
moped,10.0,3
moped,16.0,4
moped,13.0,5
bicycle,3.0,6
cargo_bicycle,3.0,6
moped,6.0,6
moped,1.0,7
bicycle,19.0,8
moped,19.0,8
bicycle,9.0,9
moped,11.0,9
bicycle,14.0,10
cargo_bicycle,1.0,10
moped,11.0,10
cargo_bicycle,4.0,11
moped,3.0,11
cargo_bicycle,4.0,12
moped,11.0,12
bicycle,5.0,14
moped,6.0,14
bicycle,35.0,15
cargo_bicycle,1.0,15
moped,51.0,15
bicycle,16.0,16
cargo_bicycle,1.0,16
moped,30.0,16
bicycle,7.0,17
moped,6.0,17
moped,1.0,18
moped,1.0,19
moped,1.0,20
moped,4.0,21
bicycle,7.0,22
moped,3.0,22
moped,15.0,23
moped,14.0,24
bicycle,1.0,25
moped,7.0,25
bicycle,9.0,26
moped,20.0,26
bicycle,26.0,27
cargo_bicycle,11.0,27
moped,16.0,27
bicycle,7.0,28
cargo_bicycle,3.0,28
moped,9.0,28
bicycle,22.0,29
cargo_bicycle,3.0,29
moped,8.0,29
bicycle,1.0,30
cargo_bicycle,2.0,30
moped,2.0,30
bicycle,8.0,31
cargo_bicycle,1.0,31
moped,5.0,31
bicycle,3.0,32
cargo_bicycle,1.0,32
moped,1.0,32
bicycle,5.0,33
cargo_bicycle,3.0,33
moped,2.0,33
bicycle,9.0,34
cargo_bicycle,4.0,34
moped,14.0,34
bicycle,8.0,36
cargo_bicycle,1.0,36
moped,39.0,36
bicycle,9.0,37
cargo_bicycle,6.0,37
moped,6.0,37
bicycle,19.0,38
cargo_bicycle,5.0,38
moped,20.0,38
bicycle,4.0,39
cargo_bicycle,2.0,39
bicycle,5.0,40
cargo_bicycle,4.0,40
moped,16.0,40
bicycle,49.0,41
moped,22.0,41
bicycle,14.0,42
moped,7.0,42
bicycle,7.0,43
moped,26.0,43
moped,29.0,44
moped,25.0,45
bicycle,24.0,46
moped,11.0,46
cargo_bicycle,2.0,47
moped,23.0,47
cargo_bicycle,1.0,48
moped,12.0,48
bicycle,5.0,50
cargo_bicycle,1.0,50
moped,6.0,50
bicycle,8.0,55
moped,22.0,55
moped,18.0,56
moped,4.0,58
moped,13.0,59
moped,1.0,62
bicycle,12.0,65
moped,2.0,65
bicycle,1.0,66
moped,4.0,66
bicycle,16.0,67
moped,8.0,67
bicycle,3.0,69
moped,2.0,69
bicycle,2.0,70
moped,2.0,70
moped,4.0,71
moped,10.0,72
moped,1.0,73
bicycle,8.0,74
cargo_bicycle,1.0,74
moped,7.0,74
moped,10.0,75
bicycle,1.0,85
moped,10.0,85
bicycle,3.0,86
cargo_bicycle,2.0,86
moped,2.0,86
bicycle,7.0,88
moped,9.0,88
bicycle,2.0,94
moped,14.0,94
bicycle,3.0,95
cargo_bicycle,1.0,95
moped,7.0,95
moped,15.0,96
moped,4.0,97
scooter,1.0,97
bicycle,3.0,98
moped,1.0,98
bicycle,6.0,99
moped,8.0,99
bicycle,1.0,100
bicycle,5.0,101
moped,15.0,101
bicycle,1.0,102
moped,8.0,102
moped,26.0,103
bicycle,7.0,104
moped,1.0,105
bicycle,9.0,106
cargo_bicycle,1.0,106
moped,2.0,106
bicycle,5.0,107
moped,3.0,107
bicycle,6.0,108
moped,3.0,108
moped,1.0,109
