0,1,Polygon
moped,10.0,0
moped,4.0,1
bicycle,1.0,2
moped,5.0,2
moped,9.0,3
moped,19.0,4
cargo_bicycle,3.0,5
moped,22.0,5
bicycle,4.0,6
cargo_bicycle,4.0,6
moped,8.0,6
bicycle,4.0,8
moped,11.0,8
bicycle,12.0,9
moped,8.0,9
bicycle,6.0,10
cargo_bicycle,11.0,10
moped,12.0,10
cargo_bicycle,7.0,11
moped,11.0,11
cargo_bicycle,3.0,12
moped,6.0,12
moped,9.0,13
bicycle,5.0,14
moped,4.0,14
bicycle,18.0,15
cargo_bicycle,1.0,15
moped,19.0,15
bicycle,15.0,16
cargo_bicycle,1.0,16
moped,17.0,16
bicycle,9.0,17
moped,6.0,17
moped,2.0,18
moped,4.0,19
cargo_bicycle,1.0,20
moped,4.0,20
cargo_bicycle,2.0,21
moped,15.0,21
bicycle,7.0,22
moped,1.0,22
moped,34.0,23
cargo_bicycle,1.0,24
moped,9.0,24
bicycle,3.0,25
moped,4.0,25
bicycle,11.0,26
moped,42.0,26
bicycle,34.0,27
cargo_bicycle,11.0,27
moped,16.0,27
bicycle,5.0,28
cargo_bicycle,2.0,28
moped,5.0,28
bicycle,17.0,29
cargo_bicycle,5.0,29
moped,6.0,29
bicycle,1.0,30
cargo_bicycle,3.0,30
moped,6.0,30
bicycle,3.0,31
cargo_bicycle,2.0,31
moped,2.0,31
bicycle,3.0,32
cargo_bicycle,1.0,32
bicycle,5.0,33
cargo_bicycle,2.0,33
moped,4.0,33
bicycle,18.0,34
cargo_bicycle,4.0,34
moped,22.0,34
bicycle,4.0,36
moped,18.0,36
bicycle,13.0,37
cargo_bicycle,3.0,37
moped,6.0,37
bicycle,11.0,38
cargo_bicycle,5.0,38
moped,10.0,38
bicycle,4.0,39
cargo_bicycle,2.0,39
bicycle,2.0,40
cargo_bicycle,1.0,40
moped,9.0,40
bicycle,17.0,41
moped,10.0,41
bicycle,17.0,42
moped,3.0,42
bicycle,9.0,43
moped,15.0,43
moped,15.0,44
moped,18.0,45
bicycle,15.0,46
moped,7.0,46
cargo_bicycle,2.0,47
moped,11.0,47
cargo_bicycle,2.0,48
moped,24.0,48
bicycle,5.0,50
cargo_bicycle,1.0,50
moped,1.0,50
moped,1.0,54
bicycle,6.0,55
moped,15.0,55
moped,7.0,56
cargo_bicycle,1.0,58
moped,5.0,58
moped,3.0,59
bicycle,2.0,65
moped,4.0,65
moped,2.0,66
bicycle,18.0,67
moped,6.0,67
moped,1.0,68
bicycle,3.0,69
moped,7.0,69
bicycle,3.0,70
moped,2.0,70
moped,7.0,71
moped,2.0,72
bicycle,9.0,74
cargo_bicycle,3.0,74
moped,10.0,74
moped,2.0,75
moped,3.0,85
bicycle,8.0,86
cargo_bicycle,3.0,86
moped,5.0,86
moped,5.0,87
bicycle,5.0,88
moped,2.0,88
bicycle,3.0,94
moped,6.0,94
cargo_bicycle,2.0,95
moped,2.0,95
moped,9.0,96
moped,1.0,97
scooter,1.0,97
moped,2.0,98
bicycle,4.0,99
moped,12.0,99
bicycle,1.0,100
moped,4.0,100
bicycle,8.0,101
moped,19.0,101
moped,15.0,102
moped,24.0,103
moped,1.0,104
moped,2.0,105
bicycle,1.0,106
cargo_bicycle,1.0,106
moped,1.0,106
bicycle,1.0,107
moped,4.0,107
bicycle,2.0,108
cargo_bicycle,1.0,108
moped,4.0,108
moped,9.0,109
