0,1,Polygon
moped,2.0,0
moped,3.0,1
bicycle,6.0,2
moped,3.0,3
moped,22.0,4
cargo_bicycle,2.0,5
moped,16.0,5
bicycle,4.0,6
cargo_bicycle,2.0,6
moped,9.0,6
bicycle,20.0,8
moped,17.0,8
bicycle,8.0,9
moped,6.0,9
bicycle,8.0,10
cargo_bicycle,7.0,10
moped,5.0,10
cargo_bicycle,5.0,11
moped,2.0,11
cargo_bicycle,6.0,12
moped,1.0,12
moped,4.0,13
bicycle,16.0,14
cargo_bicycle,1.0,14
moped,3.0,14
bicycle,45.0,15
cargo_bicycle,2.0,15
moped,85.0,15
bicycle,13.0,16
moped,23.0,16
bicycle,13.0,17
moped,13.0,17
moped,3.0,18
cargo_bicycle,1.0,19
moped,6.0,19
cargo_bicycle,1.0,20
moped,4.0,20
cargo_bicycle,2.0,21
moped,11.0,21
bicycle,16.0,22
moped,9.0,22
moped,13.0,23
cargo_bicycle,2.0,24
moped,14.0,24
bicycle,18.0,25
moped,4.0,25
bicycle,13.0,26
moped,30.0,26
bicycle,32.0,27
cargo_bicycle,12.0,27
moped,24.0,27
bicycle,4.0,28
moped,11.0,28
bicycle,12.0,29
cargo_bicycle,3.0,29
moped,5.0,29
bicycle,2.0,30
cargo_bicycle,3.0,30
moped,1.0,30
bicycle,1.0,31
cargo_bicycle,3.0,31
moped,6.0,31
bicycle,6.0,32
moped,1.0,32
bicycle,2.0,33
cargo_bicycle,3.0,33
moped,2.0,33
bicycle,12.0,34
cargo_bicycle,8.0,34
moped,29.0,34
bicycle,12.0,36
cargo_bicycle,2.0,36
moped,12.0,36
bicycle,11.0,37
cargo_bicycle,6.0,37
moped,6.0,37
bicycle,16.0,38
cargo_bicycle,9.0,38
moped,9.0,38
bicycle,2.0,39
cargo_bicycle,2.0,39
bicycle,3.0,40
cargo_bicycle,5.0,40
moped,6.0,40
bicycle,41.0,41
moped,24.0,41
bicycle,15.0,42
moped,5.0,42
bicycle,3.0,43
moped,31.0,43
moped,41.0,44
moped,14.0,45
bicycle,16.0,46
moped,6.0,46
cargo_bicycle,3.0,47
moped,15.0,47
moped,12.0,48
moped,1.0,49
bicycle,6.0,50
cargo_bicycle,1.0,50
moped,5.0,50
bicycle,8.0,55
moped,10.0,55
moped,4.0,56
cargo_bicycle,1.0,58
moped,3.0,58
moped,7.0,59
moped,2.0,62
bicycle,12.0,65
moped,11.0,65
bicycle,2.0,66
moped,9.0,66
bicycle,22.0,67
moped,27.0,67
bicycle,5.0,69
moped,7.0,69
bicycle,2.0,70
moped,2.0,70
moped,1.0,71
moped,2.0,72
moped,1.0,73
bicycle,6.0,74
cargo_bicycle,4.0,74
moped,3.0,74
moped,5.0,75
bicycle,2.0,85
moped,4.0,85
bicycle,9.0,86
cargo_bicycle,2.0,86
moped,5.0,86
moped,3.0,87
bicycle,19.0,88
moped,3.0,88
bicycle,3.0,94
moped,18.0,94
bicycle,3.0,95
cargo_bicycle,2.0,95
moped,12.0,95
moped,9.0,96
moped,5.0,97
scooter,1.0,97
bicycle,3.0,98
moped,3.0,98
bicycle,10.0,99
moped,10.0,99
bicycle,1.0,100
moped,3.0,100
bicycle,2.0,101
moped,12.0,101
moped,4.0,102
moped,39.0,103
bicycle,5.0,104
moped,4.0,104
moped,1.0,105
bicycle,9.0,106
cargo_bicycle,1.0,106
moped,2.0,106
bicycle,7.0,107
moped,3.0,107
bicycle,8.0,108
cargo_bicycle,1.0,108
moped,2.0,108
moped,6.0,109
