Polygon,0,1
1,moped,14.0
2,bicycle,2.0
2,moped,1.0
3,moped,5.0
4,moped,1.0
5,cargo_bicycle,2.0
5,moped,3.0
6,bicycle,5.0
6,cargo_bicycle,2.0
6,moped,2.0
8,bicycle,14.0
8,moped,6.0
9,bicycle,2.0
9,moped,3.0
10,bicycle,2.0
10,cargo_bicycle,13.0
10,moped,7.0
11,cargo_bicycle,6.0
11,moped,9.0
12,cargo_bicycle,9.0
12,moped,18.0
13,moped,3.0
14,bicycle,4.0
14,cargo_bicycle,1.0
14,moped,2.0
15,bicycle,27.0
15,cargo_bicycle,2.0
15,moped,6.0
16,bicycle,23.0
16,moped,13.0
17,bicycle,16.0
17,moped,3.0
18,moped,19.0
19,moped,4.0
20,cargo_bicycle,2.0
21,cargo_bicycle,2.0
21,moped,3.0
22,bicycle,11.0
22,moped,16.0
23,moped,9.0
24,cargo_bicycle,2.0
24,moped,1.0
25,bicycle,4.0
25,moped,23.0
26,bicycle,15.0
26,moped,29.0
27,bicycle,29.0
27,cargo_bicycle,12.0
27,moped,35.0
28,bicycle,3.0
28,cargo_bicycle,3.0
29,bicycle,13.0
29,cargo_bicycle,2.0
30,bicycle,4.0
30,cargo_bicycle,4.0
30,moped,6.0
31,bicycle,2.0
31,cargo_bicycle,5.0
31,moped,12.0
32,bicycle,6.0
32,cargo_bicycle,2.0
32,moped,6.0
33,bicycle,3.0
33,cargo_bicycle,2.0
33,moped,15.0
34,bicycle,13.0
34,cargo_bicycle,8.0
34,moped,23.0
36,bicycle,6.0
36,cargo_bicycle,2.0
36,moped,30.0
37,bicycle,20.0
37,cargo_bicycle,7.0
37,moped,14.0
38,bicycle,24.0
38,cargo_bicycle,7.0
38,moped,26.0
39,bicycle,3.0
39,cargo_bicycle,2.0
39,moped,1.0
40,bicycle,12.0
40,cargo_bicycle,6.0
40,moped,29.0
41,bicycle,15.0
41,moped,2.0
42,bicycle,5.0
42,moped,1.0
43,bicycle,10.0
43,moped,16.0
44,moped,6.0
45,moped,3.0
46,bicycle,12.0
46,moped,1.0
47,cargo_bicycle,1.0
47,moped,2.0
48,cargo_bicycle,2.0
48,moped,13.0
50,bicycle,6.0
50,cargo_bicycle,1.0
50,moped,4.0
55,bicycle,12.0
55,moped,14.0
56,moped,15.0
58,cargo_bicycle,1.0
58,moped,2.0
59,moped,8.0
65,bicycle,4.0
65,moped,2.0
66,moped,7.0
67,bicycle,22.0
67,moped,13.0
68,moped,1.0
69,bicycle,2.0
69,moped,3.0
70,bicycle,1.0
70,moped,14.0
71,moped,4.0
72,moped,15.0
74,bicycle,5.0
74,cargo_bicycle,5.0
74,moped,11.0
75,moped,12.0
76,moped,2.0
85,bicycle,2.0
85,moped,22.0
86,bicycle,3.0
86,cargo_bicycle,1.0
86,moped,8.0
87,moped,5.0
88,bicycle,10.0
88,moped,6.0
94,bicycle,2.0
94,moped,11.0
95,bicycle,4.0
95,cargo_bicycle,2.0
95,moped,5.0
96,moped,13.0
97,moped,16.0
97,scooter,1.0
98,bicycle,2.0
98,moped,5.0
99,bicycle,5.0
99,moped,27.0
100,bicycle,1.0
100,moped,5.0
101,bicycle,3.0
101,moped,18.0
102,bicycle,1.0
102,moped,30.0
103,moped,26.0
104,bicycle,1.0
104,moped,6.0
105,moped,12.0
106,bicycle,2.0
106,cargo_bicycle,1.0
106,moped,19.0
107,bicycle,2.0
107,moped,22.0
108,bicycle,2.0
108,moped,11.0
109,moped,2.0
