0,1,Polygon
moped,9.0,0
moped,5.0,1
bicycle,3.0,2
moped,3.0,2
moped,3.0,3
moped,9.0,4
cargo_bicycle,5.0,5
moped,29.0,5
bicycle,4.0,6
cargo_bicycle,2.0,6
moped,21.0,6
moped,1.0,7
bicycle,9.0,8
moped,11.0,8
bicycle,12.0,9
moped,6.0,9
bicycle,8.0,10
cargo_bicycle,14.0,10
moped,17.0,10
cargo_bicycle,6.0,11
moped,6.0,11
cargo_bicycle,2.0,12
moped,6.0,12
moped,4.0,13
bicycle,5.0,14
cargo_bicycle,1.0,14
moped,2.0,14
bicycle,30.0,15
cargo_bicycle,1.0,15
moped,13.0,15
bicycle,17.0,16
cargo_bicycle,1.0,16
moped,9.0,16
bicycle,9.0,17
moped,7.0,17
moped,9.0,18
cargo_bicycle,1.0,19
moped,6.0,19
moped,4.0,20
cargo_bicycle,1.0,21
moped,7.0,21
bicycle,12.0,22
moped,4.0,22
moped,34.0,23
moped,6.0,24
bicycle,9.0,25
moped,4.0,25
bicycle,13.0,26
moped,10.0,26
bicycle,40.0,27
cargo_bicycle,8.0,27
moped,22.0,27
bicycle,11.0,28
cargo_bicycle,3.0,28
moped,9.0,28
bicycle,35.0,29
cargo_bicycle,1.0,29
moped,7.0,29
bicycle,4.0,30
cargo_bicycle,3.0,30
moped,6.0,30
bicycle,5.0,31
cargo_bicycle,2.0,31
moped,6.0,31
bicycle,3.0,32
cargo_bicycle,2.0,32
moped,5.0,32
bicycle,5.0,33
cargo_bicycle,2.0,33
moped,1.0,33
bicycle,10.0,34
cargo_bicycle,8.0,34
moped,18.0,34
bicycle,7.0,36
cargo_bicycle,1.0,36
moped,28.0,36
bicycle,17.0,37
cargo_bicycle,7.0,37
moped,7.0,37
bicycle,15.0,38
cargo_bicycle,6.0,38
moped,23.0,38
bicycle,3.0,39
cargo_bicycle,2.0,39
moped,2.0,39
bicycle,7.0,40
cargo_bicycle,2.0,40
moped,10.0,40
bicycle,67.0,41
moped,13.0,41
bicycle,22.0,42
moped,6.0,42
bicycle,8.0,43
moped,9.0,43
moped,25.0,44
moped,16.0,45
bicycle,20.0,46
moped,11.0,46
cargo_bicycle,3.0,47
moped,8.0,47
cargo_bicycle,2.0,48
moped,12.0,48
bicycle,5.0,50
cargo_bicycle,1.0,50
moped,3.0,50
bicycle,7.0,55
moped,15.0,55
moped,10.0,56
cargo_bicycle,1.0,58
moped,3.0,58
moped,7.0,59
moped,3.0,62
bicycle,11.0,65
moped,21.0,65
bicycle,1.0,66
cargo_bicycle,1.0,66
moped,6.0,66
bicycle,16.0,67
moped,9.0,67
moped,1.0,68
bicycle,13.0,69
moped,3.0,69
moped,6.0,70
moped,1.0,71
moped,12.0,72
bicycle,6.0,74
cargo_bicycle,3.0,74
moped,9.0,74
moped,7.0,75
moped,3.0,76
bicycle,1.0,85
moped,6.0,85
bicycle,4.0,86
moped,7.0,86
moped,2.0,87
bicycle,12.0,88
moped,2.0,88
bicycle,6.0,94
moped,2.0,94
bicycle,2.0,95
cargo_bicycle,2.0,95
moped,9.0,96
moped,1.0,97
scooter,1.0,97
bicycle,9.0,98
bicycle,16.0,99
moped,30.0,99
bicycle,3.0,100
moped,4.0,100
bicycle,7.0,101
moped,12.0,101
bicycle,1.0,102
moped,11.0,102
moped,11.0,103
bicycle,5.0,104
moped,15.0,104
moped,3.0,105
bicycle,2.0,106
cargo_bicycle,1.0,106
moped,15.0,106
bicycle,2.0,107
moped,10.0,107
bicycle,10.0,108
cargo_bicycle,1.0,108
moped,6.0,108
moped,18.0,109
