Polygon,0,1
1,moped,3.0
2,bicycle,6.0
2,moped,2.0
3,moped,1.0
4,moped,20.0
5,cargo_bicycle,1.0
5,moped,10.0
6,bicycle,4.0
6,cargo_bicycle,3.0
6,moped,11.0
8,bicycle,21.0
8,moped,12.0
9,bicycle,9.0
9,moped,10.0
10,bicycle,8.0
10,cargo_bicycle,10.0
10,moped,4.0
11,cargo_bicycle,6.0
11,moped,2.0
12,cargo_bicycle,6.0
12,moped,2.0
13,moped,1.0
14,bicycle,16.0
14,cargo_bicycle,1.0
14,moped,8.0
15,bicycle,43.0
15,cargo_bicycle,2.0
15,moped,83.0
16,bicycle,12.0
16,moped,22.0
17,bicycle,13.0
17,moped,12.0
18,moped,1.0
19,cargo_bicycle,1.0
19,moped,5.0
20,moped,1.0
21,cargo_bicycle,2.0
21,moped,14.0
22,bicycle,15.0
22,moped,4.0
23,moped,7.0
24,moped,11.0
25,bicycle,18.0
25,moped,5.0
26,bicycle,13.0
26,moped,35.0
27,bicycle,32.0
27,cargo_bicycle,11.0
27,moped,24.0
28,bicycle,5.0
28,cargo_bicycle,2.0
28,moped,16.0
29,bicycle,13.0
29,cargo_bicycle,3.0
29,moped,5.0
30,bicycle,2.0
30,cargo_bicycle,4.0
30,moped,2.0
31,bicycle,1.0
31,cargo_bicycle,2.0
32,bicycle,6.0
33,bicycle,2.0
33,cargo_bicycle,3.0
33,moped,3.0
34,bicycle,11.0
34,cargo_bicycle,8.0
34,moped,31.0
36,bicycle,9.0
36,cargo_bicycle,2.0
36,moped,14.0
37,bicycle,12.0
37,cargo_bicycle,7.0
37,moped,6.0
38,bicycle,17.0
38,cargo_bicycle,9.0
38,moped,11.0
39,bicycle,2.0
39,cargo_bicycle,2.0
39,moped,1.0
40,bicycle,2.0
40,cargo_bicycle,5.0
40,moped,11.0
41,bicycle,37.0
41,moped,19.0
42,bicycle,12.0
42,moped,7.0
43,bicycle,3.0
43,moped,33.0
44,moped,39.0
45,moped,20.0
46,bicycle,15.0
46,moped,7.0
47,cargo_bicycle,2.0
47,moped,21.0
48,cargo_bicycle,2.0
48,moped,12.0
49,moped,1.0
50,bicycle,6.0
50,cargo_bicycle,1.0
50,moped,6.0
55,bicycle,8.0
55,moped,10.0
56,moped,5.0
58,cargo_bicycle,1.0
58,moped,4.0
59,moped,4.0
65,bicycle,13.0
65,moped,4.0
66,bicycle,2.0
66,moped,1.0
67,bicycle,22.0
67,moped,26.0
69,bicycle,5.0
69,moped,6.0
70,bicycle,2.0
70,moped,1.0
71,moped,4.0
72,moped,2.0
74,bicycle,5.0
74,cargo_bicycle,5.0
74,moped,4.0
75,moped,4.0
76,moped,3.0
85,bicycle,2.0
85,moped,3.0
86,bicycle,9.0
86,cargo_bicycle,2.0
86,moped,4.0
87,moped,2.0
88,bicycle,18.0
88,moped,6.0
94,bicycle,2.0
94,moped,25.0
95,bicycle,3.0
95,cargo_bicycle,2.0
95,moped,15.0
96,moped,9.0
97,moped,7.0
97,scooter,1.0
98,bicycle,3.0
98,moped,4.0
99,bicycle,7.0
99,moped,5.0
100,bicycle,1.0
100,moped,3.0
101,bicycle,2.0
101,moped,11.0
102,moped,1.0
103,moped,41.0
104,bicycle,5.0
104,moped,4.0
106,bicycle,11.0
106,cargo_bicycle,1.0
106,moped,1.0
107,bicycle,7.0
107,moped,3.0
108,bicycle,8.0
108,cargo_bicycle,1.0
109,moped,3.0
