Polygon,0,1
2,bicycle,6.0
2,moped,1.0
3,moped,4.0
4,moped,12.0
5,cargo_bicycle,5.0
5,moped,8.0
6,bicycle,6.0
6,cargo_bicycle,3.0
6,moped,2.0
8,bicycle,11.0
8,moped,12.0
9,bicycle,8.0
9,moped,14.0
10,bicycle,5.0
10,cargo_bicycle,9.0
10,moped,14.0
11,cargo_bicycle,7.0
11,moped,4.0
12,cargo_bicycle,3.0
12,moped,2.0
13,moped,3.0
14,bicycle,9.0
14,moped,5.0
15,bicycle,26.0
15,cargo_bicycle,1.0
15,moped,79.0
16,bicycle,21.0
16,cargo_bicycle,1.0
16,moped,10.0
17,bicycle,15.0
17,moped,5.0
18,moped,4.0
19,moped,2.0
20,moped,2.0
21,moped,4.0
22,bicycle,18.0
22,moped,7.0
23,moped,15.0
24,cargo_bicycle,1.0
24,moped,4.0
25,bicycle,3.0
25,moped,7.0
26,bicycle,9.0
26,moped,37.0
27,bicycle,45.0
27,cargo_bicycle,9.0
27,moped,15.0
28,bicycle,4.0
28,cargo_bicycle,3.0
28,moped,13.0
29,bicycle,16.0
29,cargo_bicycle,3.0
29,moped,11.0
30,bicycle,5.0
30,cargo_bicycle,4.0
30,moped,1.0
31,bicycle,5.0
31,cargo_bicycle,3.0
31,moped,2.0
32,bicycle,3.0
32,moped,1.0
33,bicycle,9.0
33,cargo_bicycle,1.0
33,moped,2.0
34,bicycle,22.0
34,cargo_bicycle,6.0
34,moped,21.0
36,bicycle,14.0
36,moped,20.0
37,bicycle,20.0
37,cargo_bicycle,4.0
37,moped,12.0
38,bicycle,10.0
38,cargo_bicycle,6.0
38,moped,18.0
39,bicycle,3.0
40,bicycle,10.0
40,cargo_bicycle,2.0
40,moped,11.0
41,bicycle,48.0
41,moped,30.0
42,bicycle,22.0
42,moped,4.0
43,bicycle,8.0
43,moped,25.0
44,moped,14.0
45,moped,27.0
46,bicycle,19.0
46,moped,6.0
47,cargo_bicycle,1.0
47,moped,18.0
48,cargo_bicycle,2.0
48,moped,10.0
50,bicycle,5.0
50,moped,1.0
54,moped,2.0
55,bicycle,3.0
55,moped,26.0
56,moped,10.0
58,cargo_bicycle,1.0
58,moped,1.0
59,moped,3.0
65,bicycle,13.0
65,moped,5.0
66,moped,4.0
67,bicycle,13.0
67,moped,7.0
68,moped,3.0
69,bicycle,2.0
69,moped,10.0
70,bicycle,3.0
70,moped,2.0
71,moped,4.0
72,moped,3.0
73,moped,3.0
74,bicycle,9.0
74,cargo_bicycle,5.0
74,moped,4.0
75,moped,4.0
76,moped,1.0
85,bicycle,2.0
85,moped,4.0
86,bicycle,4.0
86,cargo_bicycle,2.0
86,moped,6.0
87,moped,7.0
88,bicycle,11.0
88,moped,18.0
94,bicycle,2.0
94,moped,24.0
95,bicycle,3.0
95,cargo_bicycle,2.0
95,moped,12.0
96,moped,11.0
97,moped,6.0
97,scooter,1.0
98,bicycle,1.0
98,moped,1.0
99,bicycle,14.0
99,moped,2.0
100,bicycle,1.0
101,bicycle,6.0
101,moped,17.0
102,bicycle,3.0
102,moped,5.0
103,moped,45.0
104,moped,1.0
105,moped,3.0
106,bicycle,4.0
106,cargo_bicycle,1.0
106,moped,3.0
107,bicycle,3.0
107,moped,2.0
108,bicycle,4.0
108,cargo_bicycle,1.0
108,moped,1.0
109,moped,1.0
