Polygon,0,1
1,moped,2.0
2,bicycle,6.0
2,moped,1.0
3,moped,1.0
4,moped,20.0
5,cargo_bicycle,1.0
5,moped,10.0
6,bicycle,6.0
6,cargo_bicycle,1.0
6,moped,6.0
8,bicycle,14.0
8,moped,7.0
9,bicycle,10.0
9,moped,10.0
10,bicycle,10.0
10,cargo_bicycle,10.0
10,moped,7.0
11,cargo_bicycle,5.0
11,moped,2.0
12,cargo_bicycle,7.0
12,moped,2.0
13,moped,3.0
14,bicycle,5.0
14,moped,8.0
15,bicycle,43.0
15,cargo_bicycle,1.0
15,moped,103.0
16,bicycle,18.0
16,cargo_bicycle,1.0
16,moped,20.0
17,bicycle,13.0
17,moped,4.0
18,moped,6.0
19,moped,5.0
20,moped,6.0
21,moped,10.0
22,bicycle,11.0
22,moped,4.0
23,moped,18.0
24,moped,14.0
25,bicycle,2.0
25,moped,3.0
26,bicycle,10.0
26,moped,23.0
27,bicycle,26.0
27,cargo_bicycle,10.0
27,moped,18.0
28,bicycle,8.0
28,cargo_bicycle,2.0
28,moped,13.0
29,bicycle,26.0
29,moped,9.0
30,bicycle,3.0
30,cargo_bicycle,3.0
30,moped,1.0
31,bicycle,3.0
31,cargo_bicycle,1.0
31,moped,3.0
32,bicycle,3.0
33,bicycle,2.0
33,cargo_bicycle,2.0
33,moped,6.0
34,bicycle,17.0
34,cargo_bicycle,6.0
34,moped,6.0
36,bicycle,12.0
36,cargo_bicycle,2.0
36,moped,37.0
37,bicycle,19.0
37,cargo_bicycle,7.0
37,moped,4.0
38,bicycle,19.0
38,cargo_bicycle,6.0
38,moped,14.0
39,bicycle,6.0
39,moped,1.0
40,bicycle,4.0
40,cargo_bicycle,4.0
40,moped,8.0
41,bicycle,16.0
41,moped,14.0
42,bicycle,20.0
42,moped,6.0
43,bicycle,11.0
43,moped,27.0
44,moped,27.0
45,moped,22.0
46,bicycle,16.0
46,moped,9.0
47,cargo_bicycle,3.0
47,moped,23.0
48,cargo_bicycle,1.0
48,moped,6.0
50,bicycle,6.0
50,cargo_bicycle,1.0
50,moped,6.0
55,bicycle,10.0
55,moped,13.0
56,moped,13.0
58,cargo_bicycle,1.0
58,moped,3.0
59,moped,10.0
62,moped,2.0
65,bicycle,17.0
65,moped,15.0
66,moped,4.0
67,bicycle,21.0
67,moped,6.0
69,bicycle,2.0
70,bicycle,2.0
70,moped,3.0
71,moped,6.0
72,moped,8.0
74,bicycle,3.0
74,cargo_bicycle,3.0
74,moped,8.0
75,moped,7.0
76,moped,3.0
85,bicycle,1.0
85,moped,3.0
86,bicycle,5.0
86,cargo_bicycle,1.0
86,moped,4.0
88,bicycle,11.0
88,moped,5.0
94,bicycle,1.0
94,moped,16.0
95,cargo_bicycle,2.0
95,moped,16.0
96,moped,20.0
97,moped,2.0
97,scooter,1.0
98,bicycle,3.0
98,moped,1.0
99,bicycle,3.0
99,moped,7.0
100,bicycle,1.0
100,moped,3.0
101,bicycle,1.0
101,moped,18.0
102,moped,2.0
103,moped,39.0
104,bicycle,1.0
104,moped,1.0
106,bicycle,4.0
106,cargo_bicycle,1.0
106,moped,3.0
107,moped,1.0
108,bicycle,6.0
108,moped,1.0
109,moped,3.0
