,Wijk,nearest_train_station_name_walking,nearest_train_station_distance_walking,nearest_metro_station_name_walking,nearest_metro_station_distance_walking,nearest_train_station_name_bicycling,nearest_train_station_distance_bicycling,nearest_metro_station_name_bicycling,nearest_metro_station_distance_bicycling,nearest_train_station_name_driving,nearest_train_station_distance_driving,nearest_metro_station_name_driving,nearest_metro_station_distance_driving,nearest_train_station_name_transit,nearest_train_station_distance_transit,nearest_metro_station_name_transit,nearest_metro_station_distance_transit
35,H-buurt,Amsterdam Centraal Station,1516,Waterlooplein,121,Amsterdam Centraal Station,1504,Waterlooplein,138,Amsterdam Muiderpoort Station,2836,Waterlooplein,134,Amsterdam Lelylaan Station,3609,Waterlooplein,121.0
36,Haarlemmerbuurt,Amsterdam Centraal Station,1301,Centraal Station,1301,Amsterdam Centraal Station,1397,Centraal Station,1397,Amsterdam Centraal Station,2207,Centraal Station,2207,Amsterdam Centraal Station,1980,Centraal Station,1980.0
37,Havens-West,Amsterdam Centraal Station,1301,Centraal Station,1301,Amsterdam Sloterdijk Station,5517,Station Sloterdijk,5098,Amsterdam Sloterdijk Station,5428,Station Sloterdijk,5015,Amsterdam Sloterdijk Station,11295,Station Sloterdijk,11289.0
38,Helmersbuurt,Amsterdam Centraal Station,3147,Vijzelgracht,1697,Amsterdam Zuid Station,3318,Vijzelgracht,1977,Amsterdam Zuid Station,3306,Postjesweg,2518,Amsterdam Lelylaan Station,3350,Vijzelgracht,1890.0
39,Holendrecht,Amsterdam Holendrecht Station,103,Station Holendrecht,0,Amsterdam Holendrecht Station,103,Station Holendrecht,0,Amsterdam Holendrecht Station,433,Station Holendrecht,0,Amsterdam Holendrecht Station,103,Reigersbos,1497.0
40,Hoofddorppleinbuurt,Amsterdam Lelylaan Station,1722,Heemstedestraat,1204,Amsterdam Lelylaan Station,1759,Heemstedestraat,1126,Amsterdam Lelylaan Station,1690,Heemstedestraat,1126,Amsterdam Zuid Station,3112,Heemstedestraat,1255.0
41,Hoofdweg e.o.,Amsterdam Lelylaan Station,2245,Jan van Galenstraat,718,Amsterdam Lelylaan Station,2594,Postjesweg,1054,Amsterdam Lelylaan Station,2812,Postjesweg,1054,Amsterdam Sloterdijk Station,2974,Jan van Galenstraat,718.0
42,Houthavens,Amsterdam Centraal Station,2359,Centraal Station,2359,Amsterdam Centraal Station,2308,Centraal Station,2308,Amsterdam Centraal Station,2276,Centraal Station,2276,Amsterdam Centraal Station,2906,Centraal Station,2906.0
43,IJburg-Oost,Amsterdam Science Park Station,4249,Station Diemen-Zuid,5990,Amsterdam Science Park Station,4365,Verrijn Stuartweg,6286,Amsterdam Muiderpoort Station,6045,Verrijn Stuartweg,7355,Amsterdam Muiderpoort Station,6209,Centraal Station,7768.0
44,IJburg-West,Amsterdam Science Park Station,3678,Station Diemen-Zuid,5419,Amsterdam Science Park Station,3793,Verrijn Stuartweg,5715,Amsterdam Muiderpoort Station,5473,Waterlooplein,7405,Amsterdam Muiderpoort Station,5549,Centraal Station,7109.0
45,IJburg-Zuid,Amsterdam Science Park Station,4932,Station Ganzenhoef,6088,Amsterdam Science Park Station,5148,Verrijn Stuartweg,6724,Amsterdam Muiderpoort Station,7002,Verrijn Stuartweg,6439,Amsterdam Muiderpoort Station,6940,Station Ganzenhoef,7204.0
46,IJplein/Vogelbuurt,Amsterdam Centraal Station,1391,Centraal Station,1391,Amsterdam Centraal Station,1407,Centraal Station,1407,Amsterdam Muiderpoort Station,13095,Noord,2042,Amsterdam Centraal Station,1383,Centraal Station,1383.0
47,IJselbuurt,Amsterdam Centraal Station,1516,Waterlooplein,121,Amsterdam Centraal Station,1504,Waterlooplein,138,Amsterdam Muiderpoort Station,2836,Waterlooplein,134,Amsterdam Lelylaan Station,3609,Waterlooplein,121.0
48,Indische Buurt-Oost,Amsterdam Muiderpoort Station,772,Weesperplein,2395,Amsterdam Muiderpoort Station,759,Weesperplein,2652,Amsterdam Muiderpoort Station,759,Wibautstraat,2672,Amsterdam Muiderpoort Station,806,Wibautstraat,2955.0
49,Indische Buurt-West,Amsterdam Muiderpoort Station,534,Weesperplein,2133,Amsterdam Muiderpoort Station,534,Weesperplein,2385,Amsterdam Muiderpoort Station,585,Weesperplein,2392,Amsterdam Muiderpoort Station,534,Wibautstraat,2699.0
50,Jordaan,Amsterdam Centraal Station,1719,Rokin,1244,Amsterdam Centraal Station,1780,Rokin,1531,Amsterdam Centraal Station,2005,Centraal Station,2005,Amsterdam Centraal Station,1777,Rokin,1532.0
51,K-buurt,Amsterdam Bijlmer ArenA Station,3057,Kraaiennest station,401,Amsterdam Bijlmer ArenA Station,3381,Kraaiennest station,413,Amsterdam Bijlmer ArenA Station,3104,Kraaiennest station,401,Amsterdam Bijlmer ArenA Station,3871,Kraaiennest station,401.0
52,Kadoelen,Amsterdam Centraal Station,5826,Noorderpark,3573,Amsterdam Centraal Station,5481,Noorderpark,3647,Amsterdam Sloterdijk Station,9889,Noorderpark,3814,Amsterdam Centraal Station,6670,Noorderpark,3732.0
53,Landlust,Amsterdam Sloterdijk Station,1770,Jan van Galenstraat,1271,Amsterdam Sloterdijk Station,1948,Station Sloterdijk,1685,Amsterdam Sloterdijk Station,1839,Station Sloterdijk,1776,Amsterdam Sloterdijk Station,2045,Jan van Galenstraat,1271.0
54,Lutkemeer/Ookmeer,Amsterdam Lelylaan Station,6902,Station Lelylaan,6806,Amsterdam Lelylaan Station,6631,Station Lelylaan,6616,Amsterdam Sloterdijk Station,8376,Henk Sneevlietweg,7970,Amsterdam Lelylaan Station,7328,Station Lelylaan,7279.0
55,Middenmeer,Amsterdam Science Park Station,376,Amstelstation,2726,Amsterdam Science Park Station,913,Amstelstation,2698,Amsterdam Science Park Station,1246,Amstelstation,4148,Amsterdam Science Park Station,376,Amstelstation,3195.0
56,Museumkwartier,Amsterdam Zuid Station,2098,Vijzelgracht,1299,Amsterdam Zuid Station,2599,De Pijp,1963,Amsterdam Zuid Station,2608,De Pijp,1963,Amsterdam Zuid Station,3244,Vijzelgracht,1462.0
57,Nellestein,Amsterdam Holendrecht Station,2823,Gaasperplas,0,Amsterdam Holendrecht Station,2952,Gaasperplas,0,Amsterdam Bijlmer ArenA Station,5864,Gaasperplas,0,Amsterdam Bijlmer ArenA Station,4665,Gaasperplas,0.0
58,Nieuwe Pijp,Amsterdam RAI Station,2146,De Pijp,340,Amsterdam RAI Station,2127,De Pijp,346,Amsterdam RAI Station,2086,De Pijp,1125,Amsterdam RAI Station,2234,De Pijp,340.0
59,Nieuwendammerdijk/Buiksloterdijk,Amsterdam Centraal Station,3212,Noorderpark,991,Amsterdam Centraal Station,4141,Noorderpark,1161,Amsterdam Sloterdijk Station,11601,Noorderpark,984,Amsterdam Centraal Station,3645,Noorderpark,991.0
60,Nieuwmarkt/Lastage,Amsterdam Centraal Station,787,Nieuwmarkt,0,Amsterdam Centraal Station,958,Nieuwmarkt,0,Amsterdam Muiderpoort Station,4105,Nieuwmarkt,0,Amsterdam Centraal Station,1008,Rokin,736.0
61,Noordelijke IJ-oevers-Oost,Amsterdam Centraal Station,1488,Centraal Station,1488,Amsterdam Centraal Station,1467,Centraal Station,1467,Amsterdam Centraal Station,2193,Waterlooplein,2103,Amsterdam Centraal Station,1899,Centraal Station,1899.0
62,Noordelijke IJ-oevers-West,Amsterdam Centraal Station,1488,Centraal Station,1488,Amsterdam Centraal Station,1467,Centraal Station,1467,Amsterdam Centraal Station,2193,Waterlooplein,2103,Amsterdam Centraal Station,1899,Centraal Station,1899.0
63,Omval/Overamstel,Amsterdam Duivendrecht Station,2800,Spaklerweg,175,Amsterdam Duivendrecht Station,2893,Spaklerweg,175,Amsterdam RAI Station,4131,Overamstel,3506,Amsterdam Duivendrecht Station,2364,Spaklerweg,175.0
64,Oostelijk Havengebied,Amsterdam Muiderpoort Station,1821,Weesperplein,2631,Amsterdam Muiderpoort Station,1903,Centraal Station,2875,Amsterdam Muiderpoort Station,2182,Waterlooplein,3064,Amsterdam Muiderpoort Station,1966,Weesperplein,2786.0
65,Oostelijke Eilanden/Kadijken,Amsterdam Centraal Station,1580,Waterlooplein,1000,Amsterdam Centraal Station,1692,Waterlooplein,1091,Amsterdam Muiderpoort Station,2859,Waterlooplein,1245,Amsterdam Centraal Station,2490,Weesperplein,1155.0
66,Oosterparkbuurt,Amsterdam Muiderpoort Station,1047,Wibautstraat,897,Amsterdam Muiderpoort Station,1275,Weesperplein,1004,Amsterdam Muiderpoort Station,1779,Weesperplein,1033,Amsterdam Muiderpoort Station,1252,Wibautstraat,1212.0
67,Oostzanerwerf,Amsterdam Centraal Station,5846,Noorderpark,4467,Amsterdam Centraal Station,7451,Noorderpark,4788,Amsterdam Sloterdijk Station,7184,Noorderpark,5451,Amsterdam Sloterdijk Station,5637,Station Sloterdijk,5631.0
68,Osdorp-Midden,Amsterdam Lelylaan Station,3074,Station Lelylaan,2979,Amsterdam Lelylaan Station,3313,Station Lelylaan,3295,Amsterdam Lelylaan Station,3788,Station Lelylaan,3354,Amsterdam Lelylaan Station,3846,Station Lelylaan,3797.0
69,Osdorp-Oost,Amsterdam Lelylaan Station,2722,Station Lelylaan,2626,Amsterdam Lelylaan Station,2891,Station Lelylaan,2876,Amsterdam Lelylaan Station,3206,Station Lelylaan,2772,Amsterdam Lelylaan Station,3008,Station Lelylaan,2959.0
70,Oude Pijp,Amsterdam RAI Station,2116,Vijzelgracht,605,Amsterdam RAI Station,2150,Vijzelgracht,764,Amsterdam Zuid Station,2434,De Pijp,1280,Amsterdam RAI Station,1972,De Pijp,688.0
71,Overtoomse Sluis,Amsterdam Lelylaan Station,1963,Postjesweg,1491,Amsterdam Lelylaan Station,2038,Postjesweg,1492,Amsterdam Lelylaan Station,2186,Postjesweg,1498,Amsterdam Lelylaan Station,2168,Postjesweg,1836.0
72,Overtoomse Veld,Amsterdam Lelylaan Station,1141,Postjesweg,416,Amsterdam Lelylaan Station,1376,Postjesweg,1087,Amsterdam Lelylaan Station,1335,Station Lelylaan,1117,Amsterdam Lelylaan Station,1368,Postjesweg,416.0
73,Prinses Irenebuurt e.o.,Amsterdam Zuid Station,358,Station Zuid,593,Amsterdam Zuid Station,342,Station Zuid,626,Amsterdam Zuid Station,735,Amstelveenseweg,2171,Amsterdam Zuid Station,358,Station Zuid,593.0
74,Reigersbos,Amsterdam Holendrecht Station,1480,Reigersbos,0,Amsterdam Holendrecht Station,1624,Reigersbos,0,Amsterdam Holendrecht Station,1821,Reigersbos,0,Amsterdam Holendrecht Station,1357,Station Zuid,593.0
75,Rijnbuurt,Amsterdam RAI Station,1407,Europaplein,1154,Amsterdam RAI Station,1396,Europaplein,1008,Amsterdam RAI Station,1385,Station RAI,1385,Amsterdam RAI Station,1492,Europaplein,1236.0
76,Scheldebuurt,Amsterdam RAI Station,783,Europaplein,248,Amsterdam RAI Station,797,Europaplein,347,Amsterdam RAI Station,893,Europaplein,467,Amsterdam RAI Station,886,Europaplein,248.0
